feature,importance
V258,539305.995765686
C13,162646.2421426773
V70,158292.7591791153
D1n,152735.67533779144
C14,146933.22757148743
card1,121015.6158361435
card2,120253.03003883362
C1,118991.7208147049
V294,114481.58845233917
D2n,105994.96720504761
TransactionAmt,105086.00958538055
D15n,91671.91866016388
C5,90225.04945087433
addr1,89807.4939289093
D10n,76119.75806427002
V317,67431.84955024719
D2,57138.486364364624
C11,56950.499225616455
P_emaildomain_label,52019.603576660156
V91,50213.69417190552
card5,47884.58874320984
card6_freq,45262.689683914185
C6,41875.9672203064
V312,41727.69682216644
C4,41168.3471031189
C2,40658.8578004837
C8,39418.21938705444
D15,38567.113426208496
V308,37627.92782688141
D4,36489.74491596222
card6_label,36466.0507774353
card3,35033.18567943573
V187,33947.6548500061
dist1,31379.171197891235
D10,31067.06965637207
V257,30920.038801193237
V283,30328.824571609497
C10,28156.678261756897
D3,27934.02491092682
D8,26006.717898368835
P_emaildomain_freq,25690.388438224792
TransactionAmt_log1p,24667.453317642212
M4_freq,23507.96035003662
id_02,23311.85682106018
M4_label,22985.265579223633
C9,22753.158848762512
DeviceInfo_label,22478.25645828247
V45,22356.163423538208
R_emaildomain_label,21174.699871063232
D1,20666.762917518616
DT_hour,19119.628750801086
ProductCD_label,18593.83443260193
V54,18593.302710533142
M6_freq,18144.40199279785
D11,18082.24579334259
id_20,16879.182364940643
M5_freq,16629.54161643982
M5_label,15698.029711723328
V310,15158.47503566742
V62,14763.721846580505
D5,13203.992517471313
V189,12949.691730499268
V83,12486.636179924011
id_01,12453.195174217224
V285,12321.569045066833
V313,12307.966103553772
V87,12055.5093832016
V53,11707.352029800415
V320,11428.649942398071
V307,11112.426106452942
V201,11036.23316192627
DeviceInfo_freq,10921.87742805481
V61,10770.008666992188
V82,10429.3809633255
V67,10369.881880760193
id_13,10318.312859535217
V315,10174.430275917053
id_19,10112.907088279724
ProductCD_freq,9993.607754707336
C12,9662.838686943054
id_05,9419.025603294373
V165,8974.312254428864
V295,8538.08791732788
V156,8440.989528656006
V311,8371.737584114075
V314,8352.525337219238
id_17,8283.786256790161
dist2,8277.430151939392
id_06,8195.106712341309
V38,8193.84616279602
M6_label,7995.537699699402
M3_label,7498.683707237244
V55,7356.77201461792
card4_label,7086.806568622589
addr2,7073.391305923462
D13,7046.723216056824
V76,6901.493546485901
V281,6840.182769775391
V149,6666.692405700684
id_14,6307.775412559509
D6,6304.202477455139
missing_D_count,6195.61358833313
V309,5917.193130493164
V13,5830.390685081482
V12,5546.059031486511
id_09,5449.254997253418
missing_V_count,5426.556712150574
id_32,5327.986919403076
DeviceType_freq,5171.629222869873
id_18,5050.992088317871
V49,4918.460748672485
V133,4796.873553276062
V75,4756.974719047546
V136,4689.286510467529
card4_freq,4545.274892807007
V130,4538.776791572571
V35,4451.1377992630005
V243,4446.9599609375
V20,4202.201593399048
R_emaildomain_freq,4197.964616775513
V30,4174.733123779297
V56,4108.473488807678
D9,3994.827666282654
C3,3883.5666875839233
V102,3829.971912384033
D14,3756.80420589447
V131,3698.431950569153
V163,3659.3897819519043
V90,3633.110662460327
V160,3598.867702484131
V335,3588.522424697876
