model,feature,importance
base,V258,511492.12438201904
base,C5,255654.2480354309
base,D1n,189259.754447937
base,D3,178924.87989091873
base,C13,166179.99767827988
base,C1,153483.9343008995
base,C14,148227.53949546814
base,card1,147254.20076036453
base,D2n,139602.22892284393
base,card2,138887.1308040619
base,TransactionAmt,131086.9025592804
base,D15n,113390.9772849083
base,addr1,109964.77914428711
base,D2,99988.63025665283
base,D10n,93624.54197216034
base,C11,87152.75761318207
base,card6_label,65176.9028711319
base,P_emaildomain_label,62772.50532722473
base,C6,59853.66339111328
base,card5,56553.66587162018
base,D4,53236.33186817169
base,M4_freq,51502.48030281067
base,V257,46050.28337574005
base,D15,46036.338344573975
base,C2,42936.05933189392
base,C8,42522.7088804245
base,dist1,39549.37030029297
base,card3,38985.495025634766
base,card6_freq,36847.402507305145
base,C9,36282.43076610565
base,P_emaildomain_freq,33824.461265563965
base,D8,32806.42254400253
base,M4_label,32767.147941589355
base,M5_label,32614.564945220947
base,D1,31220.335703372955
base,D10,31023.933925628662
base,C10,30652.079652309418
base,M5_freq,28404.64240837097
base,id_02,25738.613397598267
base,C4,24577.372639656067
base,DT_hour,24457.989450454712
base,ProductCD_label,23436.396056175232
base,R_emaildomain_label,22748.844269752502
base,V189,22162.365325927734
base,V45,21479.091588974
base,V243,21391.940633773804
base,D5,20962.767378807068
base,M6_freq,20898.257358551025
base,DeviceInfo_label,20131.93961906433
base,id_20,20042.202794075012
base,TransactionAmt_log1p,19518.736451148987
base,D11,19174.14471435547
base,id_01,16158.50237941742
base,C12,15689.453067779541
base,V87,14233.01081085205
base,DeviceInfo_freq,13916.955774784088
base,V78,12737.081829071045
base,V201,12636.431181907654
base,id_19,12452.517813682556
base,id_13,12248.697360992432
base,V140,11938.094935417175
base,ProductCD_freq,11216.758337020874
base,missing_D_count,10851.075897216797
base,V262,10809.73031616211
base,id_05,10777.178005218506
base,V38,10582.719959259033
base,M6_label,10414.866968154907
base,card4_label,9753.203035354614
base,dist2,9139.718961715698
base,V156,9033.920075416565
base,id_14,8974.047323226929
base,id_06,8244.470711708069
base,M3_label,8177.35075378418
base,missing_V_count,7756.413185596466
base,R_emaildomain_freq,7699.468132019043
base,V149,7649.214714050293
base,id_17,7447.011817932129
base,card4_freq,7424.888323307037
base,V94,7192.840385437012
base,D13,7097.079027175903
base,V37,6325.841437339783
base,id_18,5930.066294670105
base,DeviceType_freq,5446.859329223633
base,V74,5389.777018547058
base,D6,5359.956415176392
base,id_32,5243.780181884766
base,V58,5120.7963008880615
base,D14,5049.397096633911
base,id_09,5006.256153106689
base,D9,4875.999125480652
base,D12,4703.391193389893
base,V86,4482.041186332703
base,addr2,4467.482327461243
base,C7,3981.8571672439575
base,C3,3874.8512921333313
base,V64,3838.863203048706
base,V170,3762.2195205688477
base,id_03,3686.241163253784
base,D7,3651.2340059280396
base,V44,3478.45675945282
base,V47,3374.132227420807
base,V217,2903.5500812530518
base,missing_core_count,2810.8761501312256
base,V52,2751.725128173828
base,V23,2688.5451259613037
base,TransactionAmt_outlier_iqr,2585.188777923584
base,V79,2524.397912979126
base,M3_freq,2427.147834777832
base,V148,2302.482446670532
base,V157,2202.97931098938
base,M2_label,2077.5149869918823
base,V33,2061.524612426758
base,V171,2010.8489971160889
base,M9_label,1939.0024976730347
base,M7_label,1897.1751098632812
base,missing_id_count,1893.6500959396362
base,V57,1866.4220142364502
base,V219,1836.8738737106323
base,V81,1777.1534051895142
base,V39,1712.8889179229736
base,M8_label,1653.0179920196533
base,V154,1647.3912906646729
base,V199,1634.2530937194824
base,M9_freq,1629.4224948883057
base,V232,1591.5152044296265
base,V63,1559.150302886963
base,V34,1487.4582901000977
base,V177,1409.1329908370972
base,id_11,1382.1100025177002
base,V228,1382.009804725647
base,V233,1308.5506134033203
base,V230,1279.2513008117676
base,V40,1244.8717889785767
base,V158,1240.7962036132812
base,V146,1192.373230934143
base,V231,1144.783166885376
base,id_04,1106.7740306854248
base,V60,1060.187707901001
base,V155,1046.8625020980835
base,V200,971.8960905075073
base,V51,943.0612173080444
base,V188,864.4317979812622
base,id_24,859.8544044494629
base,V190,838.5265960693359
base,DeviceType_label,836.3736972808838
base,V50,773.6288166046143
base,M8_freq,749.1789951324463
base,V85,742.4735975265503
base,V252,728.6825075149536
base,V73,706.5183877944946
base,M2_freq,692.4441013336182
base,id_21,669.5099983215332
base,V147,668.187991142273
base,V197,602.4360032081604
base,V153,585.0076417922974
base,M7_freq,563.6824932098389
base,V16,539.0336990356445
base,V72,515.2254905700684
base,V84,513.4112024307251
base,V246,454.9691047668457
base,V43,454.36159896850586
base,V15,432.14349937438965
base,id_08,431.86329460144043
base,id_26,379.1468963623047
base,id_25,372.701132774353
base,V244,348.08730697631836
base,id_07,326.6801977157593
base,V247,299.5097999572754
base,M1_freq,235.06199645996094
base,V93,174.8492021560669
base,V42,163.31640434265137
base,V71,161.08539962768555
base,V18,150.43759727478027
base,V242,140.78290176391602
base,V92,132.85800170898438
base,V32,130.78400421142578
base,id_10,125.13369750976562
base,V80,68.0279016494751
base,M1_label,44.58219909667969
base,V21,25.464599609375
base,V17,0.0
base,V22,0.0
base,V31,0.0
base,id_22,0.0
base,has_identity,0.0
uid_freq,V258,465582.1743078232
uid_freq,C5,233897.29634094238
uid_freq,C14,171090.25327968597
uid_freq,D1n,168622.76642417908
uid_freq,uid_card_addr_d1_count_train,162839.34425640106
uid_freq,C1,138664.86328125
uid_freq,D3,138551.1569199562
uid_freq,D2,136587.0091228485
uid_freq,C13,128860.90120124817
uid_freq,TransactionAmt,118463.90714168549
uid_freq,card1,117839.59813117981
uid_freq,card2,102086.93400287628
uid_freq,D15n,100444.40413475037
uid_freq,D2n,93643.95318222046
uid_freq,V257,88140.67791938782
uid_freq,D10n,81919.62089252472
uid_freq,addr1,78745.54023456573
uid_freq,C11,78464.84401607513
uid_freq,M4_freq,71808.95765686035
uid_freq,uid_card_email_count_train,70365.24332761765
uid_freq,card6_label,64653.707489967346
uid_freq,uid_card_product_count_train,62760.864557266235
uid_freq,uid_card_addr_count_train,61119.27731227875
uid_freq,P_emaildomain_label,52144.622022628784
uid_freq,uid_card_d2_count_train,51983.266894340515
uid_freq,C2,49680.13429927826
uid_freq,C6,48495.8930273056
uid_freq,card5,45314.69833946228
uid_freq,C8,44952.69066238403
uid_freq,C10,43568.919266700745
uid_freq,D4,43507.189536094666
uid_freq,D15,42630.932569503784
uid_freq,card6_freq,41074.21883106232
uid_freq,uid_card_addr_d1_freq_train,40025.61742019653
uid_freq,dist1,34944.04097414017
uid_freq,card3,33417.459283828735
uid_freq,D8,30350.862315177917
uid_freq,M5_label,29627.518280029297
uid_freq,V201,26851.247723579407
uid_freq,TransactionAmt_log1p,26142.600041389465
uid_freq,V243,25969.496797561646
uid_freq,P_emaildomain_freq,25183.137249946594
uid_freq,R_emaildomain_label,24462.937085151672
uid_freq,M5_freq,24038.744590759277
uid_freq,id_02,23399.090653419495
uid_freq,D10,23068.507694721222
uid_freq,uid_card_email_freq_train,22662.728083610535
uid_freq,V189,21867.46747970581
uid_freq,M4_label,21807.36601638794
uid_freq,C9,21549.47719478607
uid_freq,D5,20477.631218910217
uid_freq,id_20,19772.21126651764
uid_freq,DT_hour,18644.64709854126
uid_freq,D1,18140.313187599182
uid_freq,V45,18110.91530609131
uid_freq,M6_freq,18072.6851978302
uid_freq,ProductCD_label,16344.464818000793
uid_freq,C12,15387.242663383484
uid_freq,D11,15142.649774551392
uid_freq,uid_card_product_freq_train,14218.984105110168
uid_freq,DeviceInfo_label,14031.870173931122
uid_freq,ProductCD_freq,13745.356527328491
uid_freq,V87,13378.084512710571
uid_freq,id_19,12573.990801334381
uid_freq,uid_card_addr_freq_train,12255.854592323303
uid_freq,DeviceInfo_freq,11869.774479866028
uid_freq,id_01,11724.748705863953
uid_freq,uid_card_d2_freq_train,11711.85936832428
uid_freq,C4,11435.359875679016
uid_freq,V38,11230.653352737427
uid_freq,id_13,11057.316405296326
uid_freq,M6_label,10427.176965713501
uid_freq,id_17,10143.979647636414
uid_freq,id_05,9918.798875331879
uid_freq,V156,9804.02723312378
uid_freq,dist2,9419.308995246887
uid_freq,V78,8760.911257743835
uid_freq,M3_label,8659.845879554749
uid_freq,V149,8535.632249355316
uid_freq,id_06,8503.173763275146
uid_freq,missing_D_count,8363.834085464478
uid_freq,V140,8064.964677810669
uid_freq,card4_label,7680.930795669556
uid_freq,R_emaildomain_freq,7663.937805175781
uid_freq,id_14,7060.446488380432
uid_freq,id_18,6765.146015167236
uid_freq,V74,6453.7789669036865
uid_freq,card4_freq,6166.2471923828125
uid_freq,D13,6163.605750083923
uid_freq,V37,5927.7063846588135
uid_freq,missing_V_count,5579.19206571579
uid_freq,id_09,5455.632808208466
uid_freq,addr2,5454.201247215271
uid_freq,V86,5070.569904327393
uid_freq,DeviceType_freq,4982.173769950867
uid_freq,D6,4908.907785415649
uid_freq,V262,4583.432843208313
uid_freq,D9,4144.8211097717285
uid_freq,id_32,4142.723948478699
uid_freq,D14,4109.938394546509
uid_freq,V47,4025.5233368873596
uid_freq,V94,3942.9540004730225
uid_freq,C3,3410.263699054718
uid_freq,D7,3154.0496587753296
uid_freq,D12,3108.991026878357
uid_freq,V44,2872.58909034729
uid_freq,V170,2741.8682737350464
uid_freq,id_03,2727.462688446045
uid_freq,missing_id_count,2708.0969438552856
uid_freq,V23,2626.7030849456787
uid_freq,M2_label,2567.5651721954346
uid_freq,V217,2369.0320653915405
uid_freq,V228,2337.5822858810425
uid_freq,V64,2321.116479873657
uid_freq,V158,2228.870735168457
uid_freq,C7,2228.4601736068726
uid_freq,V188,2212.1834383010864
uid_freq,V231,2181.332109451294
uid_freq,V148,2083.103588104248
uid_freq,missing_core_count,2071.8132915496826
uid_freq,V200,1987.7462339401245
uid_freq,M9_label,1898.9435997009277
uid_freq,V177,1868.7415800094604
uid_freq,V79,1820.4433555603027
uid_freq,V157,1819.6337890625
uid_freq,V81,1735.0167360305786
uid_freq,V43,1634.487195968628
uid_freq,V15,1602.7644538879395
uid_freq,V58,1510.8656940460205
uid_freq,V63,1472.816104888916
uid_freq,V153,1461.4166173934937
uid_freq,M7_label,1460.295602798462
uid_freq,V171,1434.1408157348633
uid_freq,V233,1310.3922119140625
uid_freq,V72,1302.8814735412598
uid_freq,M8_label,1279.6387042999268
uid_freq,V146,1269.532766342163
uid_freq,id_11,1261.1107568740845
uid_freq,V34,1257.869125366211
uid_freq,id_04,1178.924732208252
uid_freq,M3_freq,1130.1585140228271
uid_freq,V219,1076.369704246521
uid_freq,V232,1060.7834911346436
uid_freq,V33,932.6416091918945
uid_freq,V230,912.2858171463013
uid_freq,V154,907.4050178527832
uid_freq,V52,886.8948974609375
uid_freq,M9_freq,886.7553005218506
uid_freq,V39,816.5537948608398
uid_freq,V51,813.7987976074219
uid_freq,V40,785.661491394043
uid_freq,V155,781.7764682769775
uid_freq,DeviceType_label,745.7159996032715
uid_freq,V57,743.9183921813965
uid_freq,V197,719.5893125534058
uid_freq,V50,697.5279121398926
uid_freq,TransactionAmt_outlier_iqr,684.7006912231445
uid_freq,id_21,641.8686838150024
uid_freq,V147,641.2798051834106
uid_freq,id_07,600.7837371826172
uid_freq,V71,590.6823997497559
uid_freq,V16,585.9903030395508
uid_freq,V73,570.1104955673218
uid_freq,id_25,553.6298170089722
uid_freq,V85,549.9630107879639
uid_freq,V244,529.7327919006348
uid_freq,V190,514.6440124511719
uid_freq,V84,489.3430976867676
uid_freq,V60,466.92459297180176
uid_freq,M8_freq,464.60800552368164
uid_freq,V32,460.8290100097656
uid_freq,id_24,434.3139953613281
uid_freq,V199,419.9028015136719
uid_freq,M2_freq,403.1833038330078
uid_freq,M7_freq,305.1144046783447
uid_freq,V42,281.7879981994629
uid_freq,id_26,222.62156295776367
uid_freq,V252,171.12030029296875
uid_freq,V80,138.38319778442383
uid_freq,V18,128.75240325927734
uid_freq,id_08,126.48175048828125
uid_freq,M1_freq,114.58899688720703
uid_freq,V242,113.23469924926758
uid_freq,id_22,105.68089866638184
uid_freq,V93,103.22070217132568
uid_freq,M1_label,97.93680000305176
uid_freq,V247,79.0576000213623
uid_freq,V246,73.7396011352539
uid_freq,V17,30.635000228881836
uid_freq,id_10,25.053000450134277
uid_freq,V22,24.6737003326416
uid_freq,V21,0.0
uid_freq,V31,0.0
uid_freq,V92,0.0
uid_freq,has_identity,0.0
uid_freq,uid_card_addr_d1_known_train,0.0
uid_freq,uid_card_addr_known_train,0.0
uid_freq,uid_card_email_known_train,0.0
uid_freq,uid_card_product_known_train,0.0
uid_freq,uid_card_d2_known_train,0.0
uid_freq_amt,V258,499257.9288330078
uid_freq_amt,C5,209739.9605178833
uid_freq_amt,C13,155899.88374519348
uid_freq_amt,D3,149353.44083499908
uid_freq_amt,D1n,129660.56682300568
uid_freq_amt,C14,129253.78903484344
uid_freq_amt,uid_card_addr_d1_count_train,126454.01073265076
uid_freq_amt,C1,125305.8573179245
uid_freq_amt,D2,110365.54342269897
uid_freq_amt,D2n,80105.01263904572
uid_freq_amt,D15n,76264.25902557373
uid_freq_amt,uid_card_addr_d1_amt_median_train,72419.99753284454
uid_freq_amt,C11,72352.91677474976
uid_freq_amt,card1,69315.90821647644
uid_freq_amt,uid_card_addr_d1_amt_std_train,66040.18470573425
uid_freq_amt,card2,63624.559745788574
uid_freq_amt,M4_freq,53744.76655006409
uid_freq_amt,uid_card_addr_d1_amt_max_train,53000.317836761475
uid_freq_amt,D10n,51629.4547662735
uid_freq_amt,addr1,49267.01880168915
uid_freq_amt,C10,49139.91203022003
uid_freq_amt,uid_card_addr_d1_amt_min_train,47755.59442138672
uid_freq_amt,card6_freq,47161.06725883484
uid_freq_amt,C6,46069.48888397217
uid_freq_amt,uid_card_product_amt_mean_train,44831.649331092834
uid_freq_amt,uid_card_addr_d1_amt_mean_train,44592.340651512146
uid_freq_amt,P_emaildomain_label,43728.309473991394
uid_freq_amt,uid_card_email_amt_mean_train,42120.69297885895
uid_freq_amt,uid_card_d2_amt_std_train,40909.78787326813
uid_freq_amt,uid_card_email_count_train,39787.60566139221
uid_freq_amt,uid_card_product_amt_min_train,39214.251645088196
uid_freq_amt,uid_card_addr_amt_median_train,39002.64109706879
uid_freq_amt,uid_card_addr_amt_mean_train,38436.457129478455
uid_freq_amt,C8,37382.35645008087
uid_freq_amt,uid_card_addr_amt_max_train,36843.90590763092
uid_freq_amt,card6_label,35924.71723651886
uid_freq_amt,C2,35421.46514225006
uid_freq_amt,M5_label,34076.05824947357
uid_freq_amt,D15,33221.416440963745
uid_freq_amt,V257,32928.509103775024
uid_freq_amt,uid_card_product_amt_median_train,32436.959102630615
uid_freq_amt,uid_card_product_amt_std_train,31471.509433746338
uid_freq_amt,uid_card_d2_count_train,31049.15589427948
uid_freq_amt,uid_card_addr_amt_std_train,30981.98558998108
uid_freq_amt,uid_card_email_amt_max_train,30437.652403831482
uid_freq_amt,uid_card_addr_count_train,29698.61649799347
uid_freq_amt,uid_card_email_amt_std_train,29229.914991378784
uid_freq_amt,card3,29173.367245674133
uid_freq_amt,TransactionAmt,29119.8346118927
uid_freq_amt,uid_card_d2_amt_median_train,28002.579339027405
uid_freq_amt,V219,26693.07609462738
uid_freq_amt,V189,26482.66445541382
uid_freq_amt,card5,26475.49321460724
uid_freq_amt,uid_card_product_amt_max_train,25601.580587387085
uid_freq_amt,M4_label,25493.285758972168
uid_freq_amt,uid_card_addr_d1_freq_train,25224.500051498413
uid_freq_amt,uid_card_addr_amt_min_train,25169.37184524536
uid_freq_amt,uid_card_email_amt_median_train,24485.47451210022
uid_freq_amt,D4,24474.255787849426
uid_freq_amt,uid_card_d2_amt_min_train,24042.092568397522
uid_freq_amt,uid_card_product_count_train,23965.027744293213
uid_freq_amt,V243,23852.651695251465
uid_freq_amt,D8,23547.732397079468
uid_freq_amt,uid_card_d2_amt_mean_train,23135.90536594391
uid_freq_amt,uid_card_d2_amt_max_train,22990.2169713974
uid_freq_amt,R_emaildomain_label,22255.165642738342
uid_freq_amt,M5_freq,22046.841423034668
uid_freq_amt,V201,21659.36851119995
uid_freq_amt,V45,21155.04064655304
uid_freq_amt,uid_card_email_amt_min_train,21127.29139328003
uid_freq_amt,dist1,20665.39043521881
uid_freq_amt,D10,20319.111351013184
uid_freq_amt,id_02,20182.382840156555
uid_freq_amt,C9,18617.61915397644
uid_freq_amt,P_emaildomain_freq,16129.60478401184
uid_freq_amt,D1,14664.955820083618
uid_freq_amt,id_20,14485.621974945068
uid_freq_amt,M6_freq,14407.808039665222
uid_freq_amt,V87,14273.406641960144
uid_freq_amt,DT_hour,13309.227800369263
uid_freq_amt,addr2,13243.1910572052
uid_freq_amt,ProductCD_label,12996.328531265259
uid_freq_amt,uid_card_addr_amt_diff_mean_train,12324.829897880554
uid_freq_amt,uid_card_d2_amt_diff_mean_train,11999.444477081299
uid_freq_amt,ProductCD_freq,11789.799573898315
uid_freq_amt,uid_card_product_amt_diff_mean_train,11787.775514602661
uid_freq_amt,uid_card_email_amt_diff_mean_train,11612.028895378113
uid_freq_amt,uid_card_product_amt_z_train,11522.341184616089
uid_freq_amt,D5,11156.974003791809
uid_freq_amt,C4,11064.679174423218
uid_freq_amt,DeviceInfo_label,10492.122636795044
uid_freq_amt,V38,9969.71646308899
uid_freq_amt,uid_card_email_freq_train,9722.868612289429
uid_freq_amt,TransactionAmt_log1p,9595.179193496704
uid_freq_amt,V156,9529.928741455078
uid_freq_amt,uid_card_d2_freq_train,9444.66814994812
uid_freq_amt,C12,9395.004054069519
uid_freq_amt,D11,9363.71760559082
uid_freq_amt,id_05,9246.040717124939
uid_freq_amt,id_01,9158.136037826538
uid_freq_amt,DeviceInfo_freq,8669.782117843628
uid_freq_amt,V149,8148.787591934204
uid_freq_amt,V140,8029.939069747925
uid_freq_amt,uid_card_addr_amt_z_train,7943.162503242493
uid_freq_amt,uid_card_email_amt_z_train,7938.396913528442
uid_freq_amt,id_19,7927.15114402771
uid_freq_amt,M3_label,7618.831281661987
uid_freq_amt,V171,7381.4508228302
uid_freq_amt,id_13,7094.9750328063965
uid_freq_amt,dist2,7073.636894226074
uid_freq_amt,id_32,6897.71595954895
