model,split,segment,rows,fraud_rate,pr_auc,roc_auc,thr05_threshold,thr05_precision,thr05_recall,thr05_f1,thr05_fpr,thr05_tp,thr05_fp,thr05_tn,thr05_fn,thr05_flagged_rate,top5_threshold,top5_precision,top5_recall,top5_f1,top5_fpr,top5_tp,top5_fp,top5_tn,top5_fn,top5_flagged_rate
base,valid,global,88581,0.03434145019812375,0.5954063477908068,0.9256858445035767,0.5,0.375222816399287,0.6919789612097305,0.48659269533055943,0.04097546148540432,2105,3505,82034,937,0.06333186574999153,0.566564032362874,0.4386004514672686,0.6387245233399079,0.5200749464668094,0.029074457265107143,1943,2487,83052,1099,0.05001072464749777
base,valid,uid_known,40835,0.023313334149626545,0.648533652481326,0.9568197323810801,0.5,0.5273469387755102,0.6785714285714286,0.5934772622875517,0.01451746358097435,646,579,39304,306,0.029998775560181216,0.3630101890064197,0.36385896180215477,0.7804621848739496,0.49632598530394123,0.03257026803399945,743,1299,38584,209,0.050006122199093915
base,valid,uid_unknown,47746,0.043773300381183766,0.5941864935079064,0.9011281840986013,0.5,0.3327251995438997,0.6980861244019139,0.45065637065637065,0.06408796215174348,1459,2926,42730,631,0.09184015414903866,0.6712883865349113,0.509212730318258,0.5818181818181818,0.543099598034837,0.0256702295426669,1216,1172,44484,874,0.050014660914003264
base,holdout,global,88581,0.03480430340592226,0.5436306873675363,0.9050742126226828,0.5,0.3347043701799486,0.6334738890690885,0.4379905808477237,0.04540457086715479,1953,3882,81616,1130,0.06587191384156874,0.579225128359376,0.4051918735891648,0.5822251054168018,0.4778384134167443,0.030819434372733864,1795,2635,82863,1288,0.05001072464749777
base,holdout,uid_known,29240,0.016997264021887826,0.5946422375648813,0.9168213189655275,0.5,0.5702970297029702,0.579476861167002,0.5748502994011976,0.0075496642660821765,288,217,28526,209,0.017270861833105337,0.2750261184235463,0.24897400820793433,0.7323943661971831,0.3716181725370087,0.03820060536478447,364,1098,27645,133,0.05
base,holdout,uid_unknown,59341,0.04357863871522219,0.54579737947822,0.8912457740400984,0.5,0.3123827392120075,0.6438515081206496,0.42066700353714,0.0645758082988283,1665,3665,53090,921,0.08981985473787095,0.6671283174477067,0.4686657681940701,0.5378963650425367,0.5009002520705798,0.02778609814113294,1391,1577,55178,1195,0.05001600916735478
uid_freq,valid,global,88581,0.03434145019812375,0.5937641776740543,0.9281453344937207,0.5,0.39113281983843695,0.6844181459566075,0.4977884040645547,0.037889149978372436,2082,3241,82298,960,0.060091893295401946,0.5535553482477573,0.4358916478555305,0.6347797501643655,0.5168629550321199,0.02921474415179041,1931,2499,83040,1111,0.05001072464749777
uid_freq,valid,uid_known,40835,0.023313334149626545,0.6937166871149315,0.967269876257802,0.5,0.6299435028248588,0.7027310924369747,0.6643495531281033,0.009853822430609532,669,393,39490,283,0.02600710175094894,0.31807159118425454,0.3795298726738492,0.8140756302521008,0.5177020708082832,0.03176792116942056,775,1267,38616,177,0.050006122199093915
uid_freq,valid,uid_unknown,47746,0.043773300381183766,0.5815042359850414,0.897773604228166,0.5,0.33161229758272703,0.6760765550239235,0.4449692961738309,0.062379533905729805,1413,2848,42808,677,0.08924307795417417,0.6761265415071014,0.49204355108877723,0.562200956937799,0.5247878517195177,0.026568249518135623,1175,1213,44443,915,0.050014660914003264
uid_freq,holdout,global,88581,0.03480430340592226,0.5381177695536173,0.9060275404484294,0.5,0.3487179487179487,0.6175802789490755,0.4457450544305279,0.04159161617815622,1904,3556,81942,1179,0.06163850035560673,0.5679531527242402,0.40293453724604966,0.5789815115147584,0.4751763609743112,0.030936396173009896,1785,2645,82853,1298,0.05001072464749777
