model,split,window,rows,fraud_rate,pr_auc,roc_auc
base,valid,17,17747,0.034484701639713754,0.7321468073921202,0.9518091625328275
base,valid,18,19622,0.03531750076444807,0.6083806823118187,0.9324449067171874
base,valid,19,18630,0.0345679012345679,0.5999185089236886,0.926978402111235
base,valid,20,18460,0.03591549295774648,0.5137860778041695,0.9082113505496164
base,valid,21,14122,0.030448944908653165,0.497101328497753,0.9026729239277392
base,holdout,21,6256,0.03436700767263427,0.6747664704522671,0.9170759500005774
base,holdout,22,20740,0.02849566055930569,0.5203575655310343,0.9056933627890154
base,holdout,23,20944,0.032515278838808254,0.4725565999325094,0.8969556934244204
base,holdout,24,20206,0.03667227556171434,0.5539411805387032,0.9032576204287913
base,holdout,25,17681,0.04162660483004355,0.577311718662415,0.9058170936662091
base,holdout,26,2754,0.043209876543209874,0.5927727199797646,0.9259738810135061
uid_freq,valid,17,17747,0.034484701639713754,0.7344547112189337,0.9554025033804981
uid_freq,valid,18,19622,0.03531750076444807,0.6082500929528941,0.9313978559052256
uid_freq,valid,19,18630,0.0345679012345679,0.5927657632964306,0.9281696322812844
uid_freq,valid,20,18460,0.03591549295774648,0.5071375981549322,0.9137446775945003
uid_freq,valid,21,14122,0.030448944908653165,0.5001345905956622,0.9068101216802886
uid_freq,holdout,21,6256,0.03436700767263427,0.6506936097823668,0.9112506400064675
uid_freq,holdout,22,20740,0.02849566055930569,0.5171780726843315,0.9012944091056317
uid_freq,holdout,23,20944,0.032515278838808254,0.4655574443735011,0.8991771421664146
uid_freq,holdout,24,20206,0.03667227556171434,0.5589273813479212,0.9098672900909034
uid_freq,holdout,25,17681,0.04162660483004355,0.5692411768177105,0.9095281088431884
uid_freq,holdout,26,2754,0.043209876543209874,0.5984766561417769,0.912738985537289
uid_freq_amt,valid,17,17747,0.034484701639713754,0.7399384640466782,0.9539158470508132
uid_freq_amt,valid,18,19622,0.03531750076444807,0.6330285673656716,0.9360993313130246
uid_freq_amt,valid,19,18630,0.0345679012345679,0.5970379432836138,0.9276322923350322
uid_freq_amt,valid,20,18460,0.03591549295774648,0.5140652291254708,0.9176445332737372
uid_freq_amt,valid,21,14122,0.030448944908653165,0.5205677053697308,0.9164788129547724
uid_freq_amt,holdout,21,6256,0.03436700767263427,0.6646004069287146,0.9144627987819668
uid_freq_amt,holdout,22,20740,0.02849566055930569,0.5165929898916104,0.9006041202852623
uid_freq_amt,holdout,23,20944,0.032515278838808254,0.4763064779935132,0.9020722578851683
uid_freq_amt,holdout,24,20206,0.03667227556171434,0.5792359018795734,0.9108402118338982
uid_freq_amt,holdout,25,17681,0.04162660483004355,0.5629414741360254,0.9120937143187038
uid_freq_amt,holdout,26,2754,0.043209876543209874,0.5894283274516089,0.9176056001148087
