feature,train_missing_pct,valid_missing_pct,holdout_missing_pct,missing_delta_train_valid,missing_delta_train_holdout,ks_train_valid,ks_train_holdout,train_nunique,valid_nunique,holdout_nunique
TransactionAmt,0.0,0.0,0.0,0.0,0.0,0.012708491945225275,0.015759559894334085,15931,5459,4977
card1,0.0,0.0,0.0,0.0,0.0,0.008823217732922384,0.02210613534505146,12242,6310,6316
card2,1.577248910198414,0.9031282103385602,1.820932254095122,0.6741206998598538,0.2436833438967081,0.02220551239258306,0.021069167203262462,500,494,495
card3,0.19860756982713157,0.0022578205258464005,0.8376514150890145,0.19634974930128518,0.639043845261883,0.015251686818169796,0.014779913345249085,105,62,72
card5,0.7182288365612103,0.32061051467018886,1.1356837245007394,0.3976183218910214,0.4174548879395291,0.019728627341057264,0.028900090398705877,110,65,68
addr1,11.495048115768135,10.047301340016482,10.485318522030685,1.4477467757516536,1.0097295937374504,0.005915806152031244,0.013309438096679393,318,116,83
addr2,11.495048115768135,10.047301340016482,10.485318522030685,1.4477467757516536,1.0097295937374504,0.0036276676162866105,0.005131584439988398,67,16,22
dist1,61.87436196411033,53.68419864304986,55.25112608798727,8.190163321060467,6.623235876123061,0.033693163242092594,0.028161804662075185,2561,1446,1462
dist2,92.94737504172936,95.3387295243901,95.09601381786162,2.391354482660745,2.148638776132259,0.06075421501669598,0.06023784157059653,1598,598,556
C1,0.0,0.0,0.0,0.0,0.0,0.04971382209503161,0.050763708639550154,1548,362,329
C2,0.0,0.0,0.0,0.0,0.0,0.0618066625461442,0.05681687918402367,1027,392,350
C3,0.0,0.0,0.0,0.0,0.0,0.0017499788329325972,0.0015012827242861793,23,10,12
C4,0.0,0.0,0.0,0.0,0.0,0.07466284191869588,0.04350491866201556,1203,122,115
C5,0.0,0.0,0.0,0.0,0.0,0.05940036266242199,0.022180191293844076,305,285,274
C6,0.0,0.0,0.0,0.0,0.0,0.0486592104966076,0.02805659819825923,1281,235,254
C7,0.0,0.0,0.0,0.0,0.0,0.015401183380183148,0.012409571183436663,1097,63,51
C8,0.0,0.0,0.0,0.0,0.0,0.09001320796784862,0.05651844046691734,1208,109,113
C9,0.0,0.0,0.0,0.0,0.0,0.13991165007168582,0.11381124479290142,203,167,166
C10,0.0,0.0,0.0,0.0,0.0,0.08844666378794552,0.0555389296237343,1127,157,168
C11,0.0,0.0,0.0,0.0,0.0,0.03775607325498698,0.03001174885133384,1401,253,262
C12,0.0,0.0,0.0,0.0,0.0,0.05556197491561399,0.07477602759056678,1182,106,76
C13,0.0,0.0,0.0,0.0,0.0,0.08548577177950123,0.07112304613856246,1582,800,761
C14,0.0,0.0,0.0,0.0,0.0,0.049906174292455585,0.04131516719160999,1081,251,244
D1,0.06604125038100721,1.0781093010916563,0.04628532077985121,1.012068050710649,0.019755929601156,0.08984741210751751,0.08621339884044871,640,639,640
D2,49.914122183570484,42.22350165385353,41.83854325419672,7.690620529716952,8.075578929373762,0.058550425630304104,0.06253483436853002,640,639,640
D3,47.10676426902254,38.9078922116481,38.02621329630508,8.198872057374444,9.080550972717461,0.025593252149703094,0.022519278375867535,595,566,595
D4,29.56495023924834,27.802801955272578,24.92520969508134,1.7621482839757618,4.639740544167001,0.06985106002324626,0.07856741000270673,738,695,719
D5,54.161082592687556,49.6957586841422,47.33520732436979,4.465323908545358,6.825875268317766,0.03613702872531416,0.012898158846184171,624,626,660
D6,87.28282588817015,89.95044083945767,86.77481626985471,2.6676149512875185,0.508009618315441,0.0663733609437398,0.15821417631398693,761,615,664
D7,93.52989273739773,94.54058996850341,91.71944322145833,1.0106972311056808,1.8104495159393963,0.08817256564945092,0.08130148697196393,549,417,416
D8,86.40783979795732,90.70229507456452,88.14305550851763,4.294455276607195,1.7352157105603112,0.02485092731304961,0.08581704053527095,10889,3419,3543
D9,86.40783979795732,90.70229507456452,88.14305550851763,4.294455276607195,1.7352157105603112,0.03801462105746878,0.0492939410048423,24,24,24
D10,14.801465002975487,8.550366331380319,8.19814632934828,6.251098671595168,6.603318673627207,0.0661533555742096,0.07258675934693404,753,708,746
D11,54.616597883777075,32.064438197807654,28.348065612264485,22.55215968596942,26.26853227151259,0.09837961879756724,0.08504512368047895,611,639,669
D12,88.56034912356246,90.88179180636932,89.44356013140515,2.321442682806861,0.8832110078426894,0.05593992676376025,0.07799349786149323,583,548,546
D13,89.33832956761124,91.63816168252785,88.17805172666824,2.2998321149166117,1.160277840942996,0.03818146183459736,0.1650042527020028,512,335,354
D14,89.12182070647205,91.67767354173016,88.88362064099525,2.555852835258108,0.2382000654768035,0.04675883099797362,0.12666220002906226,740,549,563
D15,16.531842526694696,13.68690802768088,9.765073774285682,2.8449344990138155,6.766768752409014,0.09248392080951817,0.103959095553248,789,734,771
V15,14.808238464553025,8.56842889558709,8.206048701188742,6.239809568965935,6.602189763364283,0.03341490690323612,0.014966735537190079,8,4,3
V16,14.808238464553025,8.56842889558709,8.206048701188742,6.239809568965935,6.602189763364283,0.033370144213554664,0.015008402203856797,15,5,5
V17,14.808238464553025,8.56842889558709,8.206048701188742,6.239809568965935,6.602189763364283,0.037753292341124345,0.002173101141282885,16,7,10
V18,14.808238464553025,8.56842889558709,8.206048701188742,6.239809568965935,6.602189763364283,0.037786625674457675,0.0021397678079495552,16,7,10
V21,14.808238464553025,8.56842889558709,8.206048701188742,6.239809568965935,6.602189763364283,0.03769380949735146,0.0024938705234159864,6,4,4
V22,14.808238464553025,8.56842889558709,8.206048701188742,6.239809568965935,6.602189763364283,0.0377271428306849,0.0024728354978353906,9,6,6
V23,14.808238464553025,8.56842889558709,8.206048701188742,6.239809568965935,6.602189763364283,0.001093090898988791,0.0026615604092876666,14,11,9
V31,14.808238464553025,8.56842889558709,8.206048701188742,6.239809568965935,6.602189763364283,0.039488183872282145,0.0008977764659583443,8,4,4
