model,strategy,window_days,review_threshold,escalate_threshold,worst_regret_pct,mean_regret_pct,mean_cost,validation_pr_auc,complexity_rank
xgboost,periodic,30,0.38715403080000027,0.6521011739999998,0.0,0.0,10.142459882469376,0.528737951919904,10
lightgbm,periodic,60,0.3245513496,0.6268494119999989,0.2875386708313554,0.27569132717735756,10.170586411868912,0.5849111076212508,8
lightgbm,periodic,30,0.2397558776,0.5501176699999993,2.7477583959297336,1.3966155950114911,10.26692511827594,0.575586320575787,9
lightgbm,periodic,90,0.36427646720000006,0.6633475815999996,4.54582334551572,3.695619834845493,10.505999507004905,0.5599790432242554,7
xgboost,periodic,60,0.4291320688,0.6894232079999998,8.510366964934303,7.152046877301638,10.849612417418289,0.5369770874552252,9
lightgbm,periodic,30,0.37571702960000025,0.5501176699999993,12.246202941438678,7.789396439269403,10.875262801972392,0.575586320575787,9
lightgbm,periodic,60,0.4747209908000001,0.6268494119999989,15.218071641518183,10.363572662755315,11.130926441595197,0.5849111076212508,8
lightgbm,static,static,0.48040240640000004,0.7543766923999997,17.5933264699498,16.245629656608685,11.77053392949729,0.4970771052294929,2
lightgbm,periodic,30,0.16415327159999996,0.5501176699999993,18.24835923070229,11.890244450353043,11.266657258409124,0.575586320575787,9
xgboost,periodic,30,0.5214823064000002,0.6521011739999998,19.2215610537541,12.972755472574327,11.377630168871114,0.528737951919904,10
lightgbm,periodic,60,0.23086628279999982,0.6268494119999989,19.277624841113305,13.149927114754812,11.39709961120083,0.5849111076212508,8
xgboost,periodic,90,0.46188629480000026,0.7103074299999992,19.695130453368392,17.25428561039326,11.85895143103113,0.5221895821524528,8
xgboost,periodic,30,0.2926189079999999,0.6521011739999998,20.741318643773777,14.040688015300246,11.480107035434987,0.528737951919904,10
lightgbm,periodic,90,0.5126674544000002,0.6633475815999996,20.837461801552926,14.685073319260994,11.552224033037009,0.5599790432242554,7
lightgbm,periodic,90,0.25979680439999986,0.6633475815999996,20.93424157235624,14.78962843725689,11.562918349151527,0.5599790432242554,7
lightgbm,periodic,60,0.4747209908000001,0.8158383256,23.621718166406012,19.554055450734865,12.178027519602388,0.5849111076212508,8
lightgbm,periodic,30,0.1180461,0.5501176699999993,23.820688197667582,15.662696590431807,11.626062411126295,0.575586320575787,9
