capacity_fraction,capacity_per_day,scenario,cost_total,cost_per_txn,approve_all_total,avoided_loss_total,review_count,direct_escalations,expected_review_handoffs,approved_fraud,fraud_not_stopped_amount
0.03,95,optimista_100_100,474673.75075,10.25456913629588,1577439.83725,1102766.0865000002,1745,1852,187.0,595,80936.261
0.03,95,favorable_90_98,512951.348285,11.081495566657306,1577439.83725,1064488.488965,1745,1852,168.3,595,87606.24318
0.03,95,adverso_80_95,561363.10485,12.127354335803323,1577439.83725,1016076.7324000001,1745,1852,149.6,595,96038.6878
0.03,95,severo_60_90,644764.4445,13.92910722849921,1577439.83725,932675.3927500001,1745,1852,112.2,595,110569.286
0.05,159,optimista_100_100,375227.95,8.106201257318153,1577439.83725,1202211.8872500001,2813,1852,300.0,482,63442.0
0.05,159,favorable_90_98,425330.2036235,9.188580518557325,1577439.83725,1152109.6336265001,2813,1852,270.0,482,72176.304978
0.05,159,adverso_80_95,485968.98428000003,10.498584637386854,1577439.83725,1091470.8529700001,2813,1852,240.0,482,82743.04944
0.05,159,severo_60_90,591410.1640949999,12.776473116615175,1577439.83725,986029.6731550002,2813,1852,180.0,482,101122.38505999999
0.1,318,optimista_100_100,303601.91825000005,6.558835106612803,1577439.83725,1273837.919,3703,1852,383.0,399,50826.951
0.1,318,favorable_90_98,362230.28262,7.825407388796474,1577439.83725,1215209.5546300001,3703,1852,344.7,399,61049.83176
0.1,318,adverso_80_95,431685.3201500001,9.325872672773231,1577439.83725,1145754.5171,3703,1852,306.40000000000003,399,73155.61220000002
0.1,318,severo_60_90,553018.1369500001,11.947074617079654,1577439.83725,1024421.7003,3703,1852,229.79999999999998,399,94310.2586
