feature,measure,association,signed_correlation,non_null_rows,missing_rate
TransactionAmt,pearson_r,0.008143684150264402,0.008143684150264402,391716,0.0
ProductCD,cramers_v,0.15617421448811503,,391716,0.0
card1,pearson_r,0.014911015269520921,-0.014911015269520921,391716,0.0
card2,pearson_r,0.004057463481479324,0.004057463481479324,385359,0.016228594185583433
card3,pearson_r,0.14299406202905146,0.14299406202905146,390896,0.0020933533478336348
card4,cramers_v,0.018998674127212862,,390888,0.0021137763073246943
card5,pearson_r,0.03568093282583756,-0.03568093282583756,388858,0.007296102278181131
card6,cramers_v,0.09926315304022269,,390891,0.002106117697515547
addr1,pearson_r,0.003057039740038086,-0.003057039740038086,348005,0.11158849778921463
addr2,pearson_r,0.03589586884074794,-0.03589586884074794,348005,0.11158849778921463
dist1,pearson_r,0.02253312988163824,0.02253312988163824,149069,0.6194462314533999
dist2,pearson_r,0.01624094897450882,-0.01624094897450882,28070,0.9283409408857437
P_emaildomain,cramers_v,0.08120836843236,,329991,0.15757589682320866
R_emaildomain,cramers_v,0.16831698434995299,,97725,0.7505207854670221
C1,pearson_r,0.02816593052068697,0.02816593052068697,391716,0.0
C2,pearson_r,0.03293972084943915,0.03293972084943915,391716,0.0
C3,pearson_r,0.007250812021680673,-0.007250812021680673,391716,0.0
C4,pearson_r,0.028769388689228667,0.028769388689228667,391716,0.0
C5,pearson_r,0.03172792254847458,-0.03172792254847458,391716,0.0
C6,pearson_r,0.02034729636486249,0.02034729636486249,391716,0.0
C7,pearson_r,0.02968325833513915,0.02968325833513915,391716,0.0
C8,pearson_r,0.03146393804770825,0.03146393804770825,391716,0.0
C9,pearson_r,0.03271496864402657,-0.03271496864402657,391716,0.0
C10,pearson_r,0.029528453907070998,0.029528453907070998,391716,0.0
C11,pearson_r,0.026366322264058835,0.026366322264058835,391716,0.0
C12,pearson_r,0.03242151096879226,0.03242151096879226,391716,0.0
C13,pearson_r,0.0048983076746449425,-0.0048983076746449425,391716,0.0
