feature,gain,splits
V258,410381.8363265991,39
C5,271427.8735733032,69
C14,157462.16869354248,131
C1,146829.9160118103,127
D1n,118589.8964767456,280
D3,118137.97814559937,69
C13,102006.21028900146,194
D2,98269.43811416626,88
D2n,90082.04587173462,245
C11,79322.36340332031,67
card1,75906.34698486328,286
card2,73051.04923248291,268
TransactionAmt,70942.03309249878,203
uid_seconds_since_prior,64791.18128204346,72
V257,54491.055587768555,7
D15n,53652.79121017456,211
C8,52133.30634307861,25
C6,51427.02906036377,119
addr1,49609.71713256836,215
card6_freq,44494.25228881836,49
card6_label,37028.35942077637,41
P_emaildomain_label,35562.15535354614,111
card3,34665.48581314087,103
D10n,33592.69800567627,145
card5,32921.66483306885,125
M5_label,31025.21837234497,39
uid_prior_mean,30208.058292388916,93
C2,27484.899208068848,83
V189,27254.485946655273,18
D15,25660.31561279297,82
D4,24626.050804138184,85
M4_label,23454.294395446777,45
C9,23255.14981842041,71
M5_freq,22024.0059967041,57
V243,21498.3095703125,4
V201,21260.535095214844,6
R_emaildomain_label,21151.27610397339,91
M4_freq,20496.83201599121,30
TransactionAmt_log1p,19052.163543701172,53
V45,18355.509620666504,32
ProductCD_label,18086.236846923828,55
P_emaildomain_freq,17026.679775238037,76
D8,16404.276500701904,77
dist1,15610.79499053955,86
M6_freq,14213.586101531982,50
id_01,14098.177429199219,34
DeviceInfo_label,14040.197319030762,44
D5,12644.13102722168,20
D10,12602.014366149902,62
C10,12291.476211547852,18
V87,12136.697982788086,39
ProductCD_freq,11690.894798278809,34
id_02,11456.044017791748,65
V156,11311.252925872803,26
DT_hour,9656.632831573486,52
V38,9340.48666381836,26
D1,9209.073974609375,45
id_20,8625.189197540283,58
V262,8438.232162475586,14
DeviceInfo_freq,8351.474365234375,31
uid_prior_count,8289.370952606201,29
M3_label,7915.055225372314,25
addr2,7741.728668212891,18
V79,7629.289764404297,5
C4,7620.9041748046875,13
V140,7474.155944824219,19
V78,7005.595436096191,20
missing_D_count,6800.00163269043,28
V149,5987.255107879639,15
M6_label,5959.696029663086,25
V74,5787.520164489746,18
id_17,5448.310802459717,33
DeviceType_freq,5279.220504760742,16
id_05,4932.32816696167,25
V47,4908.959133148193,16
R_emaildomain_freq,4853.151988983154,26
id_13,4852.675998687744,24
D11,4832.408393859863,28
id_32,4632.974014282227,9
V37,4273.497428894043,22
V158,3957.6400451660156,5
card4_label,3742.477005004883,18
id_09,3640.5234870910645,22
C3,3494.0969467163086,26
card4_freq,3437.838539123535,18
D13,3437.0831985473633,24
C12,3024.9091987609863,21
id_14,2971.2418899536133,20
id_06,2951.8241996765137,19
id_18,2866.939079284668,18
V94,2584.6529693603516,8
id_19,2494.919002532959,22
missing_V_count,2363.4846954345703,12
C7,2295.9629821777344,5
dist2,2271.543514251709,23
D6,2140.4709091186523,17
V228,2120.292999267578,7
V157,2110.767993927002,8
V64,2068.4019775390625,8
id_03,2066.1141052246094,11
V188,2050.820068359375,1
missing_core_count,1975.2840194702148,6
V217,1948.2251091003418,11
V171,1904.6319885253906,5
V63,1868.014305114746,9
V148,1863.3043823242188,12
V73,1695.4490203857422,3
V58,1677.7678298950195,3
M2_label,1661.3673095703125,5
TransactionAmt_outlier_iqr,1619.0959777832031,3
M9_label,1554.5094108581543,12
uid_amount_vs_prior_mean,1531.2467002868652,15
D12,1408.9399948120117,10
D9,1340.9073944091797,11
M3_freq,1222.6898880004883,5
V52,1201.8403701782227,6
V155,1067.6350173950195,3
V81,1038.894790649414,4
V170,1028.3365058898926,11
V44,1027.7674255371094,4
V33,1007.4012985229492,7
V177,1001.9456024169922,5
V34,946.7380218505859,4
V190,928.6182861328125,3
V51,853.664680480957,4
V154,840.8679046630859,6
V146,816.0660095214844,4
V231,815.2910003662109,3
D14,808.5084991455078,8
V219,785.0159912109375,2
V233,768.0610885620117,7
uid_prior_amount,752.9209976196289,7
id_11,716.3686065673828,6
V23,711.3889999389648,5
V85,692.1591033935547,6
V167,689.3399963378906,3
V92,627.6110229492188,1
V86,560.044792175293,4
id_04,517.7043037414551,7
V43,511.60739517211914,5
V200,502.34420013427734,4
V32,501.8370056152344,2
V230,452.4000015258789,4
V15,406.6499938964844,1
M8_label,377.3987922668457,3
V153,333.843994140625,2
V18,317.989990234375,1
V246,294.8909912109375,1
missing_id_count,274.37290954589844,3
M2_freq,271.89300537109375,1
V57,222.0662078857422,2
V232,203.88999938964844,2
M8_freq,193.83049774169922,2
D7,178.43549346923828,2
id_21,155.99480438232422,2
V147,155.3699951171875,1
V72,153.99260711669922,2
V84,144.67469787597656,2
V199,131.27200317382812,1
V22,126.38700103759766,1
V197,107.46700286865234,1
V21,93.1675033569336,1
id_26,92.57160186767578,1
id_24,84.67420196533203,1
V40,84.14859771728516,1
V17,81.82119750976562,1
id_07,81.74909973144531,1
V247,65.23049926757812,1
M7_label,51.507301330566406,1
V50,0.0,0
V16,0.0,0
V42,0.0,0
V39,0.0,0
V31,0.0,0
id_08,0.0,0
V252,0.0,0
V244,0.0,0
V242,0.0,0
V80,0.0,0
V71,0.0,0
V93,0.0,0
has_identity,0.0,0
id_10,0.0,0
id_22,0.0,0
id_25,0.0,0
DeviceType_label,0.0,0
M1_freq,0.0,0
M1_label,0.0,0
M7_freq,0.0,0
M9_freq,0.0,0
