feature,pr_auc_drop,baseline_pr_auc,permuted_pr_auc,validation_rows
V258,0.0038106688388003795,0.4862059020616316,0.48239523322283123,10000
C5,0.03376980631749843,0.4862059020616316,0.4524360957441332,10000
C14,0.021337545830926563,0.4862059020616316,0.46486835623070505,10000
C1,0.06643754643319583,0.4862059020616316,0.4197683556284358,10000
D1n,0.015215133909327494,0.4862059020616316,0.4709907681523041,10000
D3,0.005862092095980043,0.4862059020616316,0.48034380996565157,10000
C13,0.008653619314185235,0.4862059020616316,0.4775522827474464,10000
D2,0.00834385611486188,0.4862059020616316,0.47786204594676973,10000
D2n,0.01582638301836553,0.4862059020616316,0.4703795190432661,10000
C11,0.02206384383986243,0.4862059020616316,0.4641420582217692,10000
card1,0.01431200984702069,0.4862059020616316,0.4718938922146109,10000
card2,0.006783259287315158,0.4862059020616316,0.47942264277431645,10000
TransactionAmt,0.017807336208310043,0.4862059020616316,0.46839856585332157,10000
uid_seconds_since_prior,0.006587106482746241,0.4862059020616316,0.47961879557888537,10000
V257,8.918283008807482e-06,0.4862059020616316,0.4861969837786228,10000
D15n,0.017649618698519443,0.4862059020616316,0.46855628336311217,10000
C8,0.0036558681157384254,0.4862059020616316,0.4825500339458932,10000
C6,0.020116990569606863,0.4862059020616316,0.46608891149202475,10000
addr1,0.006515246472980907,0.4862059020616316,0.4796906555886507,10000
card6_freq,0.010738699755292791,0.4862059020616316,0.4754672023063388,10000
card6_label,0.008652582836068456,0.4862059020616316,0.47755331922556316,10000
P_emaildomain_label,0.0035956967347978708,0.4862059020616316,0.48261020532683374,10000
card3,0.008214727852307813,0.4862059020616316,0.4779911742093238,10000
D10n,0.0037414006834424196,0.4862059020616316,0.4824645013781892,10000
card5,0.01072909465149774,0.4862059020616316,0.4754768074101339,10000
M5_label,0.0057818460682046435,0.4862059020616316,0.48042405599342697,10000
uid_prior_mean,0.00539325875666008,0.4862059020616316,0.48081264330497153,10000
C2,0.009249279908482622,0.4862059020616316,0.476956622153149,10000
V189,0.0003572673387138847,0.4862059020616316,0.4858486347229177,10000
D15,0.0005465695918052127,0.4862059020616316,0.4856593324698264,10000
