model,strategy,window_days,block,eval_start,available_before,train_last_dt,train_rows,trigger
logistic,static,,0,10437998.1,9833198.1,9833189.0,391716,False
tree,static,,0,10437998.1,9833198.1,9833189.0,391716,False
lightgbm,static,,0,10437998.1,9833198.1,9833189.0,391716,False
lightgbm,periodic,30.0,0,10437998.1,9833198.1,9833189.0,98478,False
lightgbm,periodic,30.0,1,11042798.1,10437998.1,10437996.0,98496,False
lightgbm,periodic,30.0,2,11647598.1,11042798.1,11042793.0,93852,False
lightgbm,periodic,30.0,3,12252398.1,11647598.1,11647588.0,90857,False
lightgbm,periodic,30.0,4,12857198.1,12252398.1,12252387.0,88729,False
lightgbm,periodic,60.0,0,10437998.1,9833198.1,9833189.0,188625,False
lightgbm,periodic,60.0,1,11042798.1,10437998.1,10437996.0,190607,False
lightgbm,periodic,60.0,2,11647598.1,11042798.1,11042793.0,190379,False
lightgbm,periodic,60.0,3,12252398.1,11647598.1,11647588.0,188575,False
lightgbm,periodic,60.0,4,12857198.1,12252398.1,12252387.0,186644,False
lightgbm,periodic,90.0,0,10437998.1,9833198.1,9833189.0,289122,False
lightgbm,periodic,90.0,1,11042798.1,10437998.1,10437996.0,280122,False
lightgbm,periodic,90.0,2,11647598.1,11042798.1,11042793.0,279719,False
lightgbm,periodic,90.0,3,12252398.1,11647598.1,11647588.0,277857,False
lightgbm,periodic,90.0,4,12857198.1,12252398.1,12252387.0,276131,False
lightgbm,quality,60.0,0,10437998.1,9833198.1,9833189.0,188625,False
xgboost,static,,0,10437998.1,9833198.1,9833189.0,391716,False
xgboost,periodic,30.0,0,10437998.1,9833198.1,9833189.0,98478,False
xgboost,periodic,30.0,1,11042798.1,10437998.1,10437996.0,98496,False
xgboost,periodic,30.0,2,11647598.1,11042798.1,11042793.0,93852,False
xgboost,periodic,30.0,3,12252398.1,11647598.1,11647588.0,90857,False
xgboost,periodic,30.0,4,12857198.1,12252398.1,12252387.0,88729,False
xgboost,periodic,60.0,0,10437998.1,9833198.1,9833189.0,188625,False
xgboost,periodic,60.0,1,11042798.1,10437998.1,10437996.0,190607,False
xgboost,periodic,60.0,2,11647598.1,11042798.1,11042793.0,190379,False
xgboost,periodic,60.0,3,12252398.1,11647598.1,11647588.0,188575,False
xgboost,periodic,60.0,4,12857198.1,12252398.1,12252387.0,186644,False
xgboost,periodic,90.0,0,10437998.1,9833198.1,9833189.0,289122,False
xgboost,periodic,90.0,1,11042798.1,10437998.1,10437996.0,280122,False
xgboost,periodic,90.0,2,11647598.1,11042798.1,11042793.0,279719,False
xgboost,periodic,90.0,3,12252398.1,11647598.1,11647588.0,277857,False
xgboost,periodic,90.0,4,12857198.1,12252398.1,12252387.0,276131,False
xgboost,quality,60.0,0,10437998.1,9833198.1,9833189.0,188625,False
