model,param_index,params,fold,eval_start,eval_end,pr_auc,train_last_dt,available_before,train_rows,eval_rows,feature_count
logistic,0,"{""C"": 0.1}",1,5262199.05,6814938.765,0.4068679936239319,4657395.0,4657399.05,203617,56608,190
logistic,0,"{""C"": 0.1}",2,7850098.574999999,9402838.29,0.34132264657316486,7245284.0,7245298.574999999,293461,61055,190
logistic,1,"{""C"": 1.0}",1,5262199.05,6814938.765,0.40305510842274905,4657395.0,4657399.05,203617,56608,190
logistic,1,"{""C"": 1.0}",2,7850098.574999999,9402838.29,0.3352943439392542,7245284.0,7245298.574999999,293461,61055,190
tree,0,"{""max_depth"": 6, ""min_samples_leaf"": 100}",1,5262199.05,6814938.765,0.33674098599975927,4657395.0,4657399.05,203617,56608,190
tree,0,"{""max_depth"": 6, ""min_samples_leaf"": 100}",2,7850098.574999999,9402838.29,0.3077760621056887,7245284.0,7245298.574999999,293461,61055,190
tree,1,"{""max_depth"": 6, ""min_samples_leaf"": 300}",1,5262199.05,6814938.765,0.3176850752603603,4657395.0,4657399.05,203617,56608,190
tree,1,"{""max_depth"": 6, ""min_samples_leaf"": 300}",2,7850098.574999999,9402838.29,0.33175450766270564,7245284.0,7245298.574999999,293461,61055,190
tree,2,"{""max_depth"": 10, ""min_samples_leaf"": 100}",1,5262199.05,6814938.765,0.40700631173882,4657395.0,4657399.05,203617,56608,190
tree,2,"{""max_depth"": 10, ""min_samples_leaf"": 100}",2,7850098.574999999,9402838.29,0.36753434733794477,7245284.0,7245298.574999999,293461,61055,190
tree,3,"{""max_depth"": 10, ""min_samples_leaf"": 300}",1,5262199.05,6814938.765,0.401795401879126,4657395.0,4657399.05,203617,56608,190
tree,3,"{""max_depth"": 10, ""min_samples_leaf"": 300}",2,7850098.574999999,9402838.29,0.35937939543185154,7245284.0,7245298.574999999,293461,61055,190
lightgbm,0,"{""min_child_samples"": 100, ""num_leaves"": 31}",1,5262199.05,6814938.765,0.57064927574852,4657395.0,4657399.05,203617,56608,190
lightgbm,0,"{""min_child_samples"": 100, ""num_leaves"": 31}",2,7850098.574999999,9402838.29,0.5131895748185121,7245284.0,7245298.574999999,293461,61055,190
lightgbm,1,"{""min_child_samples"": 200, ""num_leaves"": 31}",1,5262199.05,6814938.765,0.572657928225869,4657395.0,4657399.05,203617,56608,190
lightgbm,1,"{""min_child_samples"": 200, ""num_leaves"": 31}",2,7850098.574999999,9402838.29,0.5140788903291593,7245284.0,7245298.574999999,293461,61055,190
lightgbm,2,"{""min_child_samples"": 100, ""num_leaves"": 63}",1,5262199.05,6814938.765,0.5878997082815869,4657395.0,4657399.05,203617,56608,190
lightgbm,2,"{""min_child_samples"": 100, ""num_leaves"": 63}",2,7850098.574999999,9402838.29,0.5327788791973342,7245284.0,7245298.574999999,293461,61055,190
lightgbm,3,"{""min_child_samples"": 200, ""num_leaves"": 63}",1,5262199.05,6814938.765,0.5871595639385254,4657395.0,4657399.05,203617,56608,190
lightgbm,3,"{""min_child_samples"": 200, ""num_leaves"": 63}",2,7850098.574999999,9402838.29,0.532229773159004,7245284.0,7245298.574999999,293461,61055,190
xgboost,0,"{""max_depth"": 4, ""min_child_weight"": 10}",1,5262199.05,6814938.765,0.541968391939351,4657395.0,4657399.05,203617,56608,190
xgboost,0,"{""max_depth"": 4, ""min_child_weight"": 10}",2,7850098.574999999,9402838.29,0.4850094065668711,7245284.0,7245298.574999999,293461,61055,190
xgboost,1,"{""max_depth"": 4, ""min_child_weight"": 30}",1,5262199.05,6814938.765,0.5447555044606514,4657395.0,4657399.05,203617,56608,190
xgboost,1,"{""max_depth"": 4, ""min_child_weight"": 30}",2,7850098.574999999,9402838.29,0.4822965167885953,7245284.0,7245298.574999999,293461,61055,190
xgboost,2,"{""max_depth"": 6, ""min_child_weight"": 10}",1,5262199.05,6814938.765,0.5601710895573594,4657395.0,4657399.05,203617,56608,190
xgboost,2,"{""max_depth"": 6, ""min_child_weight"": 10}",2,7850098.574999999,9402838.29,0.5080820188529438,7245284.0,7245298.574999999,293461,61055,190
xgboost,3,"{""max_depth"": 6, ""min_child_weight"": 30}",1,5262199.05,6814938.765,0.5654198202996381,4657395.0,4657399.05,203617,56608,190
xgboost,3,"{""max_depth"": 6, ""min_child_weight"": 30}",2,7850098.574999999,9402838.29,0.5072166550146701,7245284.0,7245298.574999999,293461,61055,190
