model,param_index,fold,week,pr_auc
logistic,0,1,0,0.48117278183196255
logistic,0,1,1,0.35442790178078015
logistic,0,1,2,0.3648007440682255
logistic,0,2,0,0.3135329037446775
logistic,0,2,1,0.330698091077347
logistic,0,2,2,0.41191185156118904
logistic,1,1,0,0.48584157941110157
logistic,1,1,1,0.34908586979699385
logistic,1,1,2,0.3633879969252937
logistic,1,2,0,0.30765973166968086
logistic,1,2,1,0.32669490114356425
logistic,1,2,2,0.4032424221001336
tree,0,1,0,0.3730585134870196
tree,0,1,1,0.290669992544103
tree,0,1,2,0.35263771382849723
tree,0,2,0,0.2916109636148758
tree,0,2,1,0.29674801026541053
tree,0,2,2,0.35601440311092114
tree,1,1,0,0.35931244415072927
tree,1,1,1,0.271025176812372
tree,1,1,2,0.31817110394236453
tree,1,2,0,0.3080252926155867
tree,1,2,1,0.33632746408615316
tree,1,2,2,0.3790794082045424
tree,2,1,0,0.4611141999099119
tree,2,1,1,0.347577440733041
tree,2,1,2,0.40508232356764323
tree,2,2,0,0.3410670942552635
tree,2,2,1,0.3657245505449203
tree,2,2,2,0.4233111703461756
tree,3,1,0,0.44841785820845953
tree,3,1,1,0.3475902929470271
tree,3,1,2,0.4026040461295367
tree,3,2,0,0.3409123941885605
tree,3,2,1,0.3621189754032293
tree,3,2,2,0.4033356989835873
lightgbm,0,1,0,0.622972926297808
lightgbm,0,1,1,0.522583158542245
lightgbm,0,1,2,0.5521542146976072
lightgbm,0,2,0,0.48381203144791973
lightgbm,0,2,1,0.501517130767192
lightgbm,0,2,2,0.5898400637831612
lightgbm,1,1,0,0.6202155279578697
lightgbm,1,1,1,0.5291986423564332
lightgbm,1,1,2,0.5556325680389383
lightgbm,1,2,0,0.4804017865675057
lightgbm,1,2,1,0.5054268054297751
lightgbm,1,2,2,0.5917221807600288
lightgbm,2,1,0,0.6333392463186096
lightgbm,2,1,1,0.5454307551386944
lightgbm,2,1,2,0.57308419896907
lightgbm,2,2,0,0.5074365233239941
lightgbm,2,2,1,0.5221142766982008
lightgbm,2,2,2,0.6012604171554906
lightgbm,3,1,0,0.6346744503558025
lightgbm,3,1,1,0.5452471925382067
lightgbm,3,1,2,0.5664844614377635
lightgbm,3,2,0,0.5048075645118004
lightgbm,3,2,1,0.5242402598834627
lightgbm,3,2,2,0.6007578063118205
xgboost,0,1,0,0.5967414609640315
xgboost,0,1,1,0.4922463224447954
xgboost,0,1,2,0.5189314574996441
xgboost,0,2,0,0.4434252414395604
xgboost,0,2,1,0.4814515359561159
xgboost,0,2,2,0.5723700551831716
xgboost,1,1,0,0.5967860960112122
xgboost,1,1,1,0.5037011870890578
xgboost,1,1,2,0.5172171039420539
xgboost,1,2,0,0.44408593223623705
xgboost,1,2,1,0.4786536526367575
xgboost,1,2,2,0.5619115995269307
xgboost,2,1,0,0.6134930333879189
xgboost,2,1,1,0.5134754671830625
xgboost,2,1,2,0.5374309091514422
xgboost,2,2,0,0.47124113755069563
xgboost,2,2,1,0.49757794622705576
xgboost,2,2,2,0.5928171494958179
xgboost,3,1,0,0.6151863216275318
xgboost,3,1,1,0.5221914081544837
xgboost,3,1,2,0.5439429289424075
xgboost,3,2,0,0.47102717701917146
xgboost,3,2,1,0.508329098125268
xgboost,3,2,2,0.5763228496470061
