relative_day,scenario,review_count,review_capacity,direct_escalations,expected_review_handoffs,expected_total_escalations
151,optimista_100_100,159,159,117,8.0,125.0
151,favorable_90_98,159,159,117,7.2,124.2
151,adverso_80_95,159,159,117,6.4,123.4
151,severo_60_90,159,159,117,4.8,121.8
152,optimista_100_100,159,159,182,10.0,192.0
152,favorable_90_98,159,159,182,9.0,191.0
152,adverso_80_95,159,159,182,8.0,190.0
152,severo_60_90,159,159,182,6.0,188.0
153,optimista_100_100,159,159,159,12.0,171.0
153,favorable_90_98,159,159,159,10.8,169.8
153,adverso_80_95,159,159,159,9.600000000000001,168.6
153,severo_60_90,159,159,159,7.199999999999999,166.2
154,optimista_100_100,159,159,216,15.0,231.0
154,favorable_90_98,159,159,216,13.5,229.5
154,adverso_80_95,159,159,216,12.0,228.0
154,severo_60_90,159,159,216,9.0,225.0
155,optimista_100_100,159,159,111,3.0,114.0
155,favorable_90_98,159,159,111,2.7,113.7
155,adverso_80_95,159,159,111,2.4000000000000004,113.4
155,severo_60_90,159,159,111,1.7999999999999998,112.8
156,optimista_100_100,159,159,100,10.0,110.0
156,favorable_90_98,159,159,100,9.0,109.0
156,adverso_80_95,159,159,100,8.0,108.0
156,severo_60_90,159,159,100,6.0,106.0
157,optimista_100_100,159,159,118,9.0,127.0
157,favorable_90_98,159,159,118,8.1,126.1
157,adverso_80_95,159,159,118,7.2,125.2
157,severo_60_90,159,159,118,5.3999999999999995,123.4
158,optimista_100_100,159,159,101,18.0,119.0
158,favorable_90_98,159,159,101,16.2,117.2
158,adverso_80_95,159,159,101,14.4,115.4
158,severo_60_90,159,159,101,10.799999999999999,111.8
159,optimista_100_100,159,159,120,13.0,133.0
159,favorable_90_98,159,159,120,11.700000000000001,131.7
159,adverso_80_95,159,159,120,10.4,130.4
159,severo_60_90,159,159,120,7.8,127.8
160,optimista_100_100,159,159,157,3.0,160.0
160,favorable_90_98,159,159,157,2.7,159.7
160,adverso_80_95,159,159,157,2.4000000000000004,159.4
160,severo_60_90,159,159,157,1.7999999999999998,158.8
161,optimista_100_100,159,159,156,11.0,167.0
161,favorable_90_98,159,159,156,9.9,165.9
161,adverso_80_95,159,159,156,8.8,164.8
161,severo_60_90,159,159,156,6.6,162.6
162,optimista_100_100,159,159,191,17.0,208.0
162,favorable_90_98,159,159,191,15.3,206.3
162,adverso_80_95,159,159,191,13.600000000000001,204.6
162,severo_60_90,159,159,191,10.2,201.2
163,optimista_100_100,159,159,372,6.0,378.0
163,favorable_90_98,159,159,372,5.4,377.4
163,adverso_80_95,159,159,372,4.800000000000001,376.8
163,severo_60_90,159,159,372,3.5999999999999996,375.6
164,optimista_100_100,159,159,165,6.0,171.0
164,favorable_90_98,159,159,165,5.4,170.4
164,adverso_80_95,159,159,165,4.800000000000001,169.8
164,severo_60_90,159,159,165,3.5999999999999996,168.6
165,optimista_100_100,159,159,126,17.0,143.0
165,favorable_90_98,159,159,126,15.3,141.3
165,adverso_80_95,159,159,126,13.600000000000001,139.6
165,severo_60_90,159,159,126,10.2,136.2
166,optimista_100_100,159,159,145,18.0,163.0
166,favorable_90_98,159,159,145,16.2,161.2
166,adverso_80_95,159,159,145,14.4,159.4
166,severo_60_90,159,159,145,10.799999999999999,155.8
167,optimista_100_100,159,159,110,18.0,128.0
167,favorable_90_98,159,159,110,16.2,126.2
167,adverso_80_95,159,159,110,14.4,124.4
167,severo_60_90,159,159,110,10.799999999999999,120.8
168,optimista_100_100,159,159,125,14.0,139.0
168,favorable_90_98,159,159,125,12.6,137.6
168,adverso_80_95,159,159,125,11.200000000000001,136.2
168,severo_60_90,159,159,125,8.4,133.4
169,optimista_100_100,159,159,114,18.0,132.0
169,favorable_90_98,159,159,114,16.2,130.2
169,adverso_80_95,159,159,114,14.4,128.4
169,severo_60_90,159,159,114,10.799999999999999,124.8
170,optimista_100_100,159,159,105,4.0,109.0
170,favorable_90_98,159,159,105,3.6,108.6
