value,rows,fraud_rate,feature,global_fraud_rate,lift
mail.com,559,0.18962432915921287,P_emaildomain,0.03499000914417313,5.419384955799331
outlook.com,2507,0.1651376146788991,R_emaildomain,0.03499000914417313,4.719564776289846
outlook.es,433,0.13163972286374134,R_emaildomain,0.03499000914417313,3.7622088728623053
icloud.com,1398,0.12875536480686695,R_emaildomain,0.03499000914417313,3.6797751116995214
gmail.com,57147,0.11918385917021015,R_emaildomain,0.03499000914417313,3.4062254364988584
C,68519,0.11687269224594637,ProductCD,0.03499000914417313,3.340173241006687
M2,59865,0.11373924663826944,M4,0.03499000914417313,3.2506206605896355
mobile,55645,0.10166232365890916,DeviceType,0.03499000914417313,2.905467193221324
outlook.com,5096,0.0945839874411303,P_emaildomain,0.03499000914417313,2.703171269587431
hotmail.com,27509,0.07779272238176596,R_emaildomain,0.03499000914417313,2.2232838540061013
discover,6651,0.0772816117877011,card4,0.03499000914417313,2.2086765244692934
hotmail.es,292,0.0684931506849315,R_emaildomain,0.03499000914417313,1.957505938415499
credit,148986,0.06678479857167788,card6,0.03499000914417313,1.9086819410791587
desktop,85165,0.06521458345564493,DeviceType,0.03499000914417313,1.8638058420314843
S,11628,0.058995528035775714,ProductCD,0.03499000914417313,1.6860678084618397
live.com.mx,754,0.058355437665782495,R_emaildomain,0.03499000914417313,1.667774290236229
live.com.mx,749,0.05473965287049399,P_emaildomain,0.03499000914417313,1.564436655187607
hotmail.com,45250,0.052950276243093924,P_emaildomain,0.03499000914417313,1.513297010724323
yahoo.com,11842,0.05151156899172437,R_emaildomain,0.03499000914417313,1.472179352096642
live.com,762,0.049868766404199474,R_emaildomain,0.03499000914417313,1.4252287331140667
H,33024,0.04766230620155039,ProductCD,0.03499000914417313,1.3621690124504462
gmail.com,228355,0.043541853692715286,P_emaildomain,0.03499000914417313,1.2444081827273914
ymail.com,207,0.03864734299516908,R_emaildomain,0.03499000914417313,1.104525089888552
R,37699,0.03782593702750736,ProductCD,0.03499000914417313,1.081049646819155
T,107567,0.03769743508696905,M5,0.03499000914417313,1.0773771144683109
M0,196405,0.03664876148774217,M4,0.03499000914417313,1.0474064564182965
aol.com,3701,0.03485544447446636,R_emaildomain,0.03499000914417313,0.996154197355242
F,33972,0.0348522312492641,M2,0.03499000914417313,0.9960623647069846
visa,384767,0.03475609914571676,card4,0.03499000914417313,0.9933149489189167
mastercard,189217,0.03433095334985757,card4,0.03499000914417313,0.9811644577856503
icloud.com,6267,0.03143449816499123,P_emaildomain,0.03499000914417313,0.8983849657045889
comcast.net,7888,0.03118661257606491,P_emaildomain,0.03499000914417313,0.8913004980239739
charter.net,816,0.030637254901960783,P_emaildomain,0.03499000914417313,0.8756000827471287
F,67709,0.03026185588326515,M3,0.03499000914417313,0.8648713339448968
F,38632,0.03000103541105819,M9,0.03499000914417313,0.8574171926460971
anonymous.com,20529,0.02912952408787569,R_emaildomain,0.03499000914417313,0.8325097592244162
american express,8328,0.028698366954851104,card4,0.03499000914417313,0.8201874665594431
bellsouth.net,1909,0.02776322682032478,P_emaildomain,0.03499000914417313,0.7934615480072882
live.com,3041,0.027622492601118053,P_emaildomain,0.03499000914417313,0.7894394221876908
M1,52826,0.02705107333510014,M4,0.03499000914417313,0.7731084957319866
F,132491,0.026522556249103713,M5,0.03499000914417313,0.7580036958498624
debit,439938,0.024262509717278342,card6,0.03499000914417313,0.6934125000455671
cox.net,459,0.023965141612200435,R_emaildomain,0.03499000914417313,0.6849138425044208
F,227856,0.0236860122182431,M6,0.03499000914417313,0.6769364397890568
anonymous.com,36998,0.02321747121466025,P_emaildomain,0.03499000914417313,0.6635457315542499
yahoo.com,100934,0.02275744545940912,P_emaildomain,0.03499000914417313,0.6503983855974187
gmail,496,0.02217741935483871,P_emaildomain,0.03499000914417313,0.633821479253083
T,32901,0.022126987021671075,M7,0.03499000914417313,0.6323801440147916
msn.com,4092,0.021994134897360705,P_emaildomain,0.03499000914417313,0.6285832852096691
aol.com,28289,0.021810597758846195,P_emaildomain,0.03499000914417313,0.6233378696466647
F,155251,0.02172610804439263,M8,0.03499000914417313,0.6209231885271076
