feature,train_missing_pct,test_missing_pct,missing_delta_abs,train_nunique,test_nunique,dtype
D13,89.50926270870728,75.64906422257353,13.860198486133754,577,805.0,float32
V35,28.612625732380533,15.16782417686519,13.444801555515342,4,5.0,float32
V36,28.612625732380533,15.16782417686519,13.444801555515342,6,7.0,float32
V37,28.612625732380533,15.16782417686519,13.444801555515342,55,50.0,float32
V38,28.612625732380533,15.16782417686519,13.444801555515342,55,53.0,float32
V39,28.612625732380533,15.16782417686519,13.444801555515342,16,22.0,float32
V40,28.612625732380533,15.16782417686519,13.444801555515342,18,23.0,float32
V41,28.612625732380533,15.16782417686519,13.444801555515342,2,2.0,float32
V42,28.612625732380533,15.16782417686519,13.444801555515342,9,9.0,float32
V43,28.612625732380533,15.16782417686519,13.444801555515342,9,12.0,float32
V44,28.612625732380533,15.16782417686519,13.444801555515342,49,48.0,float32
V45,28.612625732380533,15.16782417686519,13.444801555515342,49,70.0,float32
V46,28.612625732380533,15.16782417686519,13.444801555515342,7,9.0,float32
V47,28.612625732380533,15.16782417686519,13.444801555515342,9,12.0,float32
V48,28.612625732380533,15.16782417686519,13.444801555515342,6,5.0,float32
V49,28.612625732380533,15.16782417686519,13.444801555515342,6,8.0,float32
V50,28.612625732380533,15.16782417686519,13.444801555515342,6,8.0,float32
V51,28.612625732380533,15.16782417686519,13.444801555515342,7,9.0,float32
V52,28.612625732380533,15.16782417686519,13.444801555515342,9,11.0,float32
D4,28.60466691502693,15.167232100037301,13.437434814989627,808,1056.0,float32
V75,15.098723202492634,2.3842933859097557,12.714429816582879,5,6.0,float32
V76,15.098723202492634,2.3842933859097557,12.714429816582879,7,8.0,float32
V77,15.098723202492634,2.3842933859097557,12.714429816582879,31,81.0,float32
V78,15.098723202492634,2.3842933859097557,12.714429816582879,32,81.0,float32
V79,15.098723202492634,2.3842933859097557,12.714429816582879,8,8.0,float32
V80,15.098723202492634,2.3842933859097557,12.714429816582879,20,19.0,float32
V81,15.098723202492634,2.3842933859097557,12.714429816582879,20,19.0,float32
V82,15.098723202492634,2.3842933859097557,12.714429816582879,8,6.0,float32
V83,15.098723202492634,2.3842933859097557,12.714429816582879,8,8.0,float32
V84,15.098723202492634,2.3842933859097557,12.714429816582879,8,11.0,float32
V85,15.098723202492634,2.3842933859097557,12.714429816582879,8,11.0,float32
V86,15.098723202492634,2.3842933859097557,12.714429816582879,31,81.0,float32
V87,15.098723202492634,2.3842933859097557,12.714429816582879,31,81.0,float32
V88,15.098723202492634,2.3842933859097557,12.714429816582879,2,2.0,float32
V89,15.098723202492634,2.3842933859097557,12.714429816582879,3,8.0,float32
V90,15.098723202492634,2.3842933859097557,12.714429816582879,6,5.0,float32
V91,15.098723202492634,2.3842933859097557,12.714429816582879,7,9.0,float32
V92,15.098723202492634,2.3842933859097557,12.714429816582879,8,7.0,float32
V93,15.098723202492634,2.3842933859097557,12.714429816582879,8,8.0,float32
V94,15.098723202492634,2.3842933859097557,12.714429816582879,3,3.0,float32
D15,15.09008703898127,2.381925078598199,12.708161960383071,859,1078.0,float32
D11,47.29349409015477,34.837405835114495,12.456088255040278,676,880.0,float32
V1,47.29349409015477,34.837405835114495,12.456088255040278,2,2.0,float32
V2,47.29349409015477,34.837405835114495,12.456088255040278,9,12.0,float32
V3,47.29349409015477,34.837405835114495,12.456088255040278,10,12.0,float32
V4,47.29349409015477,34.837405835114495,12.456088255040278,7,10.0,float32
V5,47.29349409015477,34.837405835114495,12.456088255040278,7,11.0,float32
V6,47.29349409015477,34.837405835114495,12.456088255040278,10,13.0,float32
V7,47.29349409015477,34.837405835114495,12.456088255040278,10,13.0,float32
V8,47.29349409015477,34.837405835114495,12.456088255040278,9,12.0,float32
V9,47.29349409015477,34.837405835114495,12.456088255040278,9,12.0,float32
V10,47.29349409015477,34.837405835114495,12.456088255040278,5,6.0,float32
V11,47.29349409015477,34.837405835114495,12.456088255040278,6,8.0,float32
M8,58.633115453652586,46.38014095375683,12.252974499895757,2,2.0,category
M9,58.633115453652586,46.38014095375683,12.252974499895757,2,2.0,category
M7,58.63531682866528,46.38290397895364,12.25241284971164,2,2.0,category
D6,87.60676668811597,75.37295906183454,12.233807626281433,829,1072.0,float32
D14,89.46946862193924,77.265433962711,12.204034659228242,802,1031.0,float32
M1,45.90713584177194,34.861286267172694,11.045849574599245,2,2.0,category
M2,45.90713584177194,34.861286267172694,11.045849574599245,2,2.0,category
M3,45.90713584177194,34.861286267172694,11.045849574599245,2,2.0,category
V53,13.055169844549056,2.5457330009808743,10.509436843568182,6,6.0,float32
V54,13.055169844549056,2.5457330009808743,10.509436843568182,7,8.0,float32
V55,13.055169844549056,2.5457330009808743,10.509436843568182,18,50.0,float32
V56,13.055169844549056,2.5457330009808743,10.509436843568182,52,51.0,float32
V57,13.055169844549056,2.5457330009808743,10.509436843568182,7,7.0,float32
V58,13.055169844549056,2.5457330009808743,10.509436843568182,11,9.0,float32
V59,13.055169844549056,2.5457330009808743,10.509436843568182,17,13.0,float32
V60,13.055169844549056,2.5457330009808743,10.509436843568182,17,18.0,float32
V61,13.055169844549056,2.5457330009808743,10.509436843568182,7,7.0,float32
V62,13.055169844549056,2.5457330009808743,10.509436843568182,11,9.0,float32
V63,13.055169844549056,2.5457330009808743,10.509436843568182,8,9.0,float32
V64,13.055169844549056,2.5457330009808743,10.509436843568182,8,11.0,float32
V65,13.055169844549056,2.5457330009808743,10.509436843568182,2,2.0,float32
V66,13.055169844549056,2.5457330009808743,10.509436843568182,8,9.0,float32
V67,13.055169844549056,2.5457330009808743,10.509436843568182,9,11.0,float32
V68,13.055169844549056,2.5457330009808743,10.509436843568182,3,8.0,float32
V69,13.055169844549056,2.5457330009808743,10.509436843568182,6,5.0,float32
V70,13.055169844549056,2.5457330009808743,10.509436843568182,7,9.0,float32
V71,13.055169844549056,2.5457330009808743,10.509436843568182,7,7.0,float32
V72,13.055169844549056,2.5457330009808743,10.509436843568182,11,9.0,float32
V73,13.055169844549056,2.5457330009808743,10.509436843568182,8,9.0,float32
V74,13.055169844549056,2.5457330009808743,10.509436843568182,9,11.0,float32
D10,12.873302401192129,2.47586793528995,10.39743446590218,818,1075.0,float32
V12,12.881938564703491,2.484551728765658,10.397386835937834,4,5.0,float32
V13,12.881938564703491,2.484551728765658,10.397386835937834,7,7.0,float32
V14,12.881938564703491,2.484551728765658,10.397386835937834,2,2.0,float32
V15,12.881938564703491,2.484551728765658,10.397386835937834,8,13.0,float32
V16,12.881938564703491,2.484551728765658,10.397386835937834,15,23.0,float32
V17,12.881938564703491,2.484551728765658,10.397386835937834,16,11.0,float32
V18,12.881938564703491,2.484551728765658,10.397386835937834,16,11.0,float32
V19,12.881938564703491,2.484551728765658,10.397386835937834,8,13.0,float32
V20,12.881938564703491,2.484551728765658,10.397386835937834,15,23.0,float32
V21,12.881938564703491,2.484551728765658,10.397386835937834,6,6.0,float32
V22,12.881938564703491,2.484551728765658,10.397386835937834,9,8.0,float32
V23,12.881938564703491,2.484551728765658,10.397386835937834,14,16.0,float32
V24,12.881938564703491,2.484551728765658,10.397386835937834,14,26.0,float32
V25,12.881938564703491,2.484551728765658,10.397386835937834,7,13.0,float32
V26,12.881938564703491,2.484551728765658,10.397386835937834,13,23.0,float32
V27,12.881938564703491,2.484551728765658,10.397386835937834,4,8.0,float32
V28,12.881938564703491,2.484551728765658,10.397386835937834,4,8.0,float32
V29,12.881938564703491,2.484551728765658,10.397386835937834,6,5.0,float32
V30,12.881938564703491,2.484551728765658,10.397386835937834,8,8.0,float32
V31,12.881938564703491,2.484551728765658,10.397386835937834,8,13.0,float32
V32,12.881938564703491,2.484551728765658,10.397386835937834,15,23.0,float32
V33,12.881938564703491,2.484551728765658,10.397386835937834,7,13.0,float32
V34,12.881938564703491,2.484551728765658,10.397386835937834,13,23.0,float32
D5,52.4674027161581,44.28241275254543,8.184989963612665,688,961.0,float32
D7,93.40992989467267,88.13221470284651,5.277715191826161,597,904.0,float32
