group,feature_a,feature_b,abs_corr
C,C7,C12,0.9994413013816211
C,C8,C10,0.9967667848092497
C,C1,C11,0.99623372719421
C,C1,C2,0.9945123276344993
C,C2,C11,0.9932110273699604
C,C6,C11,0.9907903299312443
C,C7,C10,0.9842302582466028
C,C6,C14,0.9838046556927903
C,C10,C12,0.9829140539580127
C,C8,C12,0.9821410413857641
C,C7,C8,0.9821226246934709
C,C1,C6,0.9815183176281365
C,C2,C8,0.974410556172753
C,C4,C11,0.9737293598820461
C,C2,C6,0.973197902112703
C,C2,C4,0.9705125298540562
C,C2,C10,0.9689088996393118
C,C1,C4,0.9664316697555447
C,C1,C8,0.9657894435391878
C,C11,C14,0.9614253710028425
C,C4,C6,0.9613270762762423
C,C8,C11,0.9608760515531991
C,C4,C8,0.9575782667877734
C,C1,C10,0.9555307425514961
C,C10,C11,0.9538041096014411
C,C1,C14,0.9502850860913334
C,C4,C10,0.9495947198119794
C,C2,C12,0.9370050033288588
C,C2,C7,0.9354137181742261
C,C2,C14,0.9332320700854709
C,C5,C9,0.9261947100615856
C,C1,C12,0.9235324493815833
C,C1,C7,0.92172616383612
C,C6,C8,0.918536263061196
C,C11,C12,0.9111086492473719
C,C7,C11,0.9105888315006463
C,C6,C10,0.9105614199144817
C,C4,C14,0.9053884975948224
C,C4,C7,0.8891333660611411
C,C4,C12,0.8886176170733673
C,C13,C14,0.8778895090885234
C,C8,C14,0.8551227684894792
C,C6,C7,0.851723983535107
C,C6,C12,0.8512779826807375
C,C10,C14,0.8474639064286794
C,C6,C13,0.8042671055226204
C,C7,C14,0.7860684902789328
C,C12,C14,0.785237295915425
C,C11,C13,0.774729401136274
C,C1,C13,0.7699119808110985
D,D4,D12,1.0
D,D5,D7,0.9890244951941908
D,D1,D2,0.9818105790379099
D,D6,D12,0.9755741271552251
D,D4,D6,0.953213881184109
D,D3,D7,0.8438071740295626
D,D11,D15,0.7685047128055444
D,D4,D15,0.7482671653138487
D,D3,D5,0.7272643173405219
D,D10,D15,0.7093634942448893
D,D6,D15,0.6972571183536347
D,D2,D12,0.677302474387666
D,D4,D11,0.6573108302650503
D,D4,D10,0.640080813611227
D,D1,D15,0.6364783159367153
D,D2,D15,0.617134875620663
D,D10,D11,0.6104944257686665
D,D12,D15,0.600117964158831
D,D2,D6,0.5982023265423193
D,D1,D11,0.5946196678698299
D,D1,D4,0.5823974472154417
D,D4,D7,0.5709467262335011
D,D2,D4,0.568219956251688
D,D1,D10,0.5646537938787471
D,D2,D11,0.5636353168501977
D,D5,D6,0.5633987405146094
D,D5,D12,0.5615534923640492
D,D7,D12,0.5522191079942734
D,D2,D10,0.5291751448876856
D,D1,D6,0.52262635457178
D,D1,D12,0.5159880273902708
D,D8,D13,0.5134771470107162
D,D6,D7,0.50618767906044
D,D6,D10,0.4785523440479755
D,D2,D7,0.47372123752728873
D,D13,D15,0.4326585442829206
D,D2,D13,0.3945565933166707
D,D6,D13,0.3933368512066637
D,D1,D13,0.36646288352189593
D,D4,D13,0.3575837501958548
D,D3,D12,0.35383640049391346
D,D10,D14,0.3502574073570997
D,D12,D13,0.3445907372242333
D,D3,D6,0.3188942591206829
D,D4,D5,0.3159651369478046
D,D2,D8,0.29668841935588486
D,D7,D15,0.29080284722996536
D,D1,D3,0.2817170782081651
D,D2,D3,0.2651459849159078
D,D10,D13,0.26255188720816725
V,V97,V324,0.9999645870056398
V,V96,V323,0.9999638828918721
V,V95,V322,0.9999567906102903
V,V279,V322,0.9998068688615764
V,V280,V324,0.9997922351684311
V,V101,V322,0.9997220199728699
V,V95,V101,0.9996224019964083
V,V279,V293,0.9996041104781334
V,V293,V322,0.9995995946470189
V,V167,V177,0.999440921459189
V,V105,V329,0.9992913300739794
V,V103,V324,0.9992907858244878
V,V295,V324,0.9991694294063551
V,V101,V293,0.9991234300717795
V,V102,V323,0.9989457133060973
V,V95,V279,0.9989448808710475
V,V294,V323,0.998871947463107
V,V97,V103,0.9988368678050529
V,V95,V293,0.9987158748159567
V,V101,V279,0.9987017679617878
V,V280,V295,0.9986985680299487
V,V132,V322,0.9985266929616536
V,V132,V316,0.9984050046552919
V,V316,V322,0.9983448237466447
V,V106,V330,0.9982435510429144
V,V177,V211,0.9982093786753012
V,V133,V323,0.9980553238004897
V,V317,V323,0.9979248700611107
V,V167,V211,0.9978792000901121
V,V134,V324,0.9977814834836751
V,V318,V324,0.9975466900712271
V,V134,V323,0.9973521482907869
V,V96,V102,0.997341343457376
V,V318,V323,0.997091844771379
V,V143,V164,0.9967961975273175
V,V217,V231,0.9966312248623778
V,V179,V213,0.9965639332258687
V,V298,V329,0.9964752824253567
V,V103,V323,0.9963731616014788
V,V168,V213,0.9962896723184523
V,V307,V332,0.9962811013685396
V,V295,V323,0.9962356501080148
V,V308,V333,0.9961236594034537
V,V178,V213,0.9958231145677513
V,V168,V179,0.9958160997264244
V,V102,V133,0.9956750751409553
V,V178,V179,0.9956497651353617
V,V280,V323,0.9953825951649887
V,V232,V233,0.9952400116621277
V,V332,V333,0.9952248910011792
