split,window,rows,fraud_rate,pr_auc,roc_auc
valid,17,17747,0.034484701639713754,0.7332082898131824,0.9513528667959743
valid,18,19622,0.03531750076444807,0.6118908847652571,0.9274627439348238
valid,19,18630,0.0345679012345679,0.5965428271255412,0.9259942861010599
valid,20,18460,0.03591549295774648,0.49078970514075687,0.901690686085941
valid,21,14122,0.030448944908653165,0.48865312389572285,0.9022561128888708
holdout,21,6256,0.03436700767263427,0.6485565387751617,0.9155653422542857
holdout,22,20740,0.02849566055930569,0.5027570858074248,0.9032598007786157
holdout,23,20944,0.032515278838808254,0.4689927513741874,0.8769502626366367
holdout,24,20206,0.03667227556171434,0.5381084375026284,0.900799767602531
holdout,25,17681,0.04162660483004355,0.5651801597623556,0.9120064755539019
holdout,26,2754,0.043209876543209874,0.5711444209727696,0.9145759252467589
