feature,train_missing_pct,valid_missing_pct,holdout_missing_pct,missing_delta_train_valid,missing_delta_train_holdout,ks_train_valid,ks_train_holdout,train_nunique,valid_nunique,holdout_nunique,gain_importance,split_importance,perm_pr_auc,perm_pr_auc_drop,max_ks,max_missing_delta,gain_rank,perm_rank,is_predictive,is_shifted,recommendation
V258,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.012541726428908384,0.04967942214106624,66,37,24,511492.12438201904,56,0.5931459544934266,0.004308459623973304,0.04967942214106624,8.953709841033302,1.0,34.0,True,False,keep
C5,0.0,0.0,0.0,0.0,0.0,0.05940036266242199,0.022180191293844076,305,285,274,255654.2480354309,207,0.5717977488960604,0.02565666522133947,0.05940036266242199,0.0,2.0,8.0,True,False,keep
D3,47.10676426902254,38.9078922116481,38.02621329630508,8.198872057374444,9.080550972717461,0.025593252149703094,0.022519278375867535,595,566,595,178924.87989091873,337,0.5811591298535591,0.016295284263840748,0.025593252149703094,9.080550972717461,4.0,15.0,True,False,keep
C13,0.0,0.0,0.0,0.0,0.0,0.08548577177950123,0.07112304613856246,1582,800,761,166179.99767827988,630,0.5607301608700017,0.03672425324739814,0.08548577177950123,0.0,5.0,2.0,True,False,keep
C1,0.0,0.0,0.0,0.0,0.0,0.04971382209503161,0.050763708639550154,1548,362,329,153483.9343008995,364,0.4843347035903919,0.11311971052700798,0.050763708639550154,0.0,6.0,1.0,True,False,keep
C14,0.0,0.0,0.0,0.0,0.0,0.049906174292455585,0.04131516719160999,1081,251,244,148227.53949546814,317,0.5731482336281359,0.024306180489263918,0.049906174292455585,0.0,7.0,10.0,True,False,keep
card1,0.0,0.0,0.0,0.0,0.0,0.008823217732922384,0.02210613534505146,12242,6310,6316,147254.20076036453,1453,0.5623758155425274,0.0350785985748725,0.02210613534505146,0.0,8.0,3.0,True,False,keep
card2,1.577248910198414,0.9031282103385602,1.820932254095122,0.6741206998598538,0.2436833438967081,0.02220551239258306,0.021069167203262462,500,494,495,138887.1308040619,1329,0.5702059917608001,0.027248422356599744,0.02220551239258306,0.6741206998598538,10.0,7.0,True,False,keep
TransactionAmt,0.0,0.0,0.0,0.0,0.0,0.012708491945225275,0.015759559894334085,15931,5459,4977,131086.9025592804,1091,0.5701532615956105,0.02730115252178933,0.015759559894334085,0.0,11.0,6.0,True,False,keep
addr1,11.495048115768135,10.047301340016482,10.485318522030685,1.4477467757516536,1.0097295937374504,0.005915806152031244,0.013309438096679393,318,116,83,109964.77914428711,1177,0.5806829856593815,0.016771428458018378,0.013309438096679393,1.4477467757516536,13.0,14.0,True,False,keep
D2,49.914122183570484,42.22350165385353,41.83854325419672,7.690620529716952,8.075578929373762,0.058550425630304104,0.06253483436853002,640,639,640,99988.63025665283,405,0.5883422689651945,0.009112145152205375,0.06253483436853002,8.075578929373762,14.0,20.0,True,False,keep
C11,0.0,0.0,0.0,0.0,0.0,0.03775607325498698,0.03001174885133384,1401,253,262,87152.75761318207,219,0.5629268072026188,0.03452760691478107,0.03775607325498698,0.0,16.0,4.0,True,False,keep
card6_label,0.0,0.0,0.0,0.0,0.0,0.05281330646526908,0.03085600185141285,5,4,3,65176.9028711319,116,0.5921891167556518,0.005265297361748078,0.05281330646526908,0.0,17.0,30.0,True,False,keep
P_emaildomain_label,0.0,0.0,0.0,0.0,0.0,0.01913668055226292,0.026922513575145968,60,60,60,62772.50532722473,470,0.5834350639792181,0.014019350138181785,0.026922513575145968,0.0,18.0,18.0,True,False,keep
C6,0.0,0.0,0.0,0.0,0.0,0.0486592104966076,0.02805659819825923,1281,235,254,59853.66339111328,315,0.5734491198656009,0.02400529425179898,0.0486592104966076,0.0,19.0,11.0,True,False,keep
card5,0.7182288365612103,0.32061051467018886,1.1356837245007394,0.3976183218910214,0.4174548879395291,0.019728627341057264,0.028900090398705877,110,65,68,56553.66587162018,517,0.5823476837604614,0.015106730356938436,0.028900090398705877,0.4174548879395291,20.0,17.0,True,False,keep
D4,29.56495023924834,27.802801955272578,24.92520969508134,1.7621482839757618,4.639740544167001,0.06985106002324626,0.07856741000270673,738,695,719,53236.33186817169,533,0.5920902627741859,0.0053641513432139964,0.07856741000270673,4.639740544167001,21.0,29.0,True,False,keep
M4_freq,0.0,0.0,0.0,0.0,0.0,0.024146031315970706,0.027950458902021857,4,4,4,51502.48030281067,120,0.5942410580171641,0.0032133561002357647,0.027950458902021857,0.0,22.0,45.0,True,False,keep
V257,75.60392667244024,84.55763651347354,82.04694008873234,8.953709841033302,6.443013416292104,0.010436303857014328,0.041739519914325895,48,37,24,46050.28337574005,16,0.5977269570693268,-0.0002725429519269129,0.041739519914325895,8.953709841033302,23.0,180.0,True,False,keep
D15,16.531842526694696,13.68690802768088,9.765073774285682,2.8449344990138155,6.766768752409014,0.09248392080951817,0.103959095553248,789,734,771,46036.338344573975,420,0.5884349534649745,0.009019460652425315,0.103959095553248,6.766768752409014,24.0,21.0,True,False,keep
C2,0.0,0.0,0.0,0.0,0.0,0.0618066625461442,0.05681687918402367,1027,392,350,42936.05933189392,296,0.576709048435629,0.020745365681770878,0.0618066625461442,0.0,25.0,13.0,True,False,keep
C8,0.0,0.0,0.0,0.0,0.0,0.09001320796784862,0.05651844046691734,1208,109,113,42522.7088804245,68,0.5939938056415383,0.003460608475861604,0.09001320796784862,0.0,26.0,41.0,True,False,keep
dist1,61.87436196411033,53.68419864304986,55.25112608798727,8.190163321060467,6.623235876123061,0.033693163242092594,0.028161804662075185,2561,1446,1462,39549.37030029297,492,0.5886579701086873,0.0087964440087126,0.033693163242092594,8.190163321060467,27.0,22.0,True,False,keep
card3,0.19860756982713157,0.0022578205258464005,0.8376514150890145,0.19634974930128518,0.639043845261883,0.015251686818169796,0.014779913345249085,105,62,72,38985.495025634766,193,0.5906148299039249,0.00683958421347497,0.015251686818169796,0.639043845261883,28.0,25.0,True,False,keep
card6_freq,0.0,0.0,0.0,0.0,0.0,0.055004439157381374,0.024693198597893457,5,4,3,36847.402507305145,85,0.5896087028357814,0.007845711281618484,0.055004439157381374,0.0,29.0,23.0,True,False,keep
