feature,perm_pr_auc,perm_pr_auc_drop
C1,0.4843347035903919,0.11311971052700798
C13,0.5607301608700017,0.03672425324739814
card1,0.5623758155425274,0.0350785985748725
C11,0.5629268072026188,0.03452760691478107
D1n,0.5636746946853168,0.03377971943208302
TransactionAmt,0.5701532615956105,0.02730115252178933
card2,0.5702059917608001,0.027248422356599744
C5,0.5717977488960604,0.02565666522133947
D10n,0.5728546409271723,0.024599773190227547
C14,0.5731482336281359,0.024306180489263918
C6,0.5734491198656009,0.02400529425179898
D2n,0.573815016835297,0.023639397282102848
C2,0.576709048435629,0.020745365681770878
addr1,0.5806829856593815,0.016771428458018378
D3,0.5811591298535591,0.016295284263840748
D15n,0.5812654580054234,0.01618895611197646
card5,0.5823476837604614,0.015106730356938436
P_emaildomain_label,0.5834350639792181,0.014019350138181785
C9,0.5844594972074925,0.012994916909907395
D2,0.5883422689651945,0.009112145152205375
D15,0.5884349534649745,0.009019460652425315
dist1,0.5886579701086873,0.0087964440087126
card6_freq,0.5896087028357814,0.007845711281618484
D11,0.5898114315374116,0.0076429825799883
card3,0.5906148299039249,0.00683958421347497
ProductCD_label,0.5906766614651483,0.006777752652251556
M4_label,0.5914019214058788,0.006052492711521085
D1,0.5919180598917392,0.005536354225660678
D4,0.5920902627741859,0.0053641513432139964
card6_label,0.5921891167556518,0.005265297361748078
M5_label,0.5924340824391988,0.00502033167820104
M6_freq,0.5929776799740939,0.00447673414330596
D8,0.5930731274210346,0.004381286696365283
V258,0.5931459544934266,0.004308459623973304
M5_freq,0.593500399328461,0.003954014788938864
P_emaildomain_freq,0.5936797239844852,0.0037746901329146487
id_02,0.5937981252917401,0.003656288825659715
C10,0.5938151516039405,0.0036392625134593626
id_20,0.5938355238336194,0.003618890283780485
DeviceInfo_freq,0.5939780173760263,0.0034763967413735664
C8,0.5939938056415383,0.003460608475861604
TransactionAmt_log1p,0.5941192518473446,0.0033351622700552586
id_19,0.5941505522865789,0.0033038618308209866
D10,0.5941762621777071,0.0032781519396927195
M4_freq,0.5942410580171641,0.0032133561002357647
V45,0.5945157530526809,0.0029386610647189615
D5,0.5958089718661044,0.0016454422512954814
R_emaildomain_label,0.595891681680345,0.0015627324370548479
C12,0.5960435191144906,0.0014108950029092515
id_01,0.5962987039634657,0.0011557101539341197
V78,0.5963780286519098,0.0010763854654900484
DT_hour,0.5965837377465099,0.00087067637089
C4,0.597228764749071,0.00022564936832880633
DeviceInfo_label,0.597546358110399,-9.194399299916611e-05
V257,0.5977269570693268,-0.0002725429519269129
V243,0.5978493757492108,-0.0003949616318109639
id_13,0.5979977028310681,-0.0005432887136682663
V201,0.5980022349550745,-0.000547820837674684
V87,0.5982591767975852,-0.0008047626801853669
V189,0.5983872612076276,-0.0009328470902277841
