split,window,rows,fraud_rate,pr_auc,roc_auc
valid,17,17747,0.034484701639713754,0.7321468073921202,0.9518091625328275
valid,18,19622,0.03531750076444807,0.6083806823118187,0.9324449067171874
valid,19,18630,0.0345679012345679,0.5999185089236886,0.926978402111235
valid,20,18460,0.03591549295774648,0.5137860778041695,0.9082113505496164
valid,21,14122,0.030448944908653165,0.497101328497753,0.9026729239277392
holdout,21,6256,0.03436700767263427,0.6747664704522671,0.9170759500005774
holdout,22,20740,0.02849566055930569,0.5203575655310343,0.9056933627890154
holdout,23,20944,0.032515278838808254,0.4725565999325094,0.8969556934244204
holdout,24,20206,0.03667227556171434,0.5539411805387032,0.9032576204287913
holdout,25,17681,0.04162660483004355,0.577311718662415,0.9058170936662091
holdout,26,2754,0.043209876543209874,0.5927727199797646,0.9259738810135061
