scenario,policy_type,split,review_threshold,escalate_threshold,rows,fraud_total,fraud_rate,cost_total,cost_per_txn,fraud_detection_rate,fraud_miss_rate,legit_escalation_rate,review_rate,escalate_rate,approve_rate
base,global,valid,0.41488003057125583,0.6598987881388723,88581,3042,0.03434145019812375,100672.0,1.1364965398900442,0.7455621301775148,0.25443786982248523,0.017009785010346157,0.049231776566080764,0.03606868290039625,0.914699540533523
base,global,holdout,0.41488003057125583,0.6598987881388723,88581,3083,0.03480430340592226,122324.0,1.3809281900181753,0.6879662666234188,0.31203373337658125,0.020058948747339118,0.05065420349736399,0.03779591560266874,0.9115498808999672
friction_high,global,valid,0.5042639737693224,0.8401528518885477,88581,3042,0.03434145019812375,111339.0,1.256917397636062,0.6900065746219592,0.30999342537804075,0.004337202913291013,0.043824296406678634,0.018536706517198947,0.9376389970761224
friction_high,global,holdout,0.5042639737693224,0.8401528518885477,88581,3083,0.03480430340592226,133475.0,1.5068129734367415,0.6312033733376581,0.36879662666234186,0.005508900793001006,0.04515641051692801,0.019586593061717523,0.9352569964213545
fraud_high,global,valid,0.3250713065909127,0.46890608120146593,88581,3042,0.03434145019812375,170508.0,1.9248823111050903,0.8017751479289941,0.19822485207100593,0.04828207016682449,0.048588297716214535,0.07112134656416161,0.8802903557196239
fraud_high,global,holdout,0.3250713065909127,0.46890608120146593,88581,3083,0.03480430340592226,206902.0,2.33573791219336,0.7515407071034707,0.24845929289652935,0.052480759783854594,0.04985267721068852,0.07344690170578341,0.8767004210835281
capacity_tight,global,valid,0.489223872828562,0.6605119385208984,88581,3042,0.03434145019812375,111584.0,1.2596832277802237,0.6982248520710059,0.30177514792899407,0.01692795099311425,0.029938700172723272,0.03594450277147469,0.9341167970558021
capacity_tight,global,holdout,0.489223872828562,0.6605119385208984,88581,3083,0.03480430340592226,133754.0,1.5099626330702973,0.6393123580927668,0.36068764190723324,0.019965379307118294,0.03095471940935415,0.03770560278163489,0.931339677809011
capacity_loose,global,valid,0.32157767579485796,0.7375332207367395,88581,3042,0.03434145019812375,85060.0,0.9602510696424741,0.8037475345167653,0.19625246548323472,0.010205871006207694,0.0938688883620641,0.027308339260112214,0.8788227723778237
capacity_loose,global,holdout,0.32157767579485796,0.7375332207367395,88581,3083,0.03480430340592226,103594.0,1.1694832977726601,0.7534868634446967,0.24651313655530327,0.012316077569065944,0.09631862363260744,0.028719477088766213,0.8749618992786263
