scenario,policy_type,split,known_review_threshold,known_escalate_threshold,unknown_review_threshold,unknown_escalate_threshold,rows,fraud_total,fraud_rate,cost_total,cost_per_txn,fraud_detection_rate,fraud_miss_rate,legit_escalation_rate,review_rate,escalate_rate,approve_rate
base,segmented_uid,valid,0.31135336292894505,0.6438698456170229,0.5196630495328375,0.7610667896420051,88581,3042,0.03434145019812375,99472.0,1.1229496167349657,0.7284681130834977,0.2715318869165023,0.010042202971743883,0.04674817398764972,0.027985685417866134,0.9252661405944842
base,segmented_uid,holdout,0.31135336292894505,0.6438698456170229,0.5196630495328375,0.7610667896420051,88581,3083,0.03480430340592226,121572.0,1.372438784840993,0.6655854686993189,0.33441453130068116,0.011707876207630587,0.047764193224280604,0.028155021957304613,0.9240807848184148
friction_high,segmented_uid,valid,0.3591280178686204,0.9968809299595818,0.5620165730110469,0.8358684404762468,88581,3042,0.03434145019812375,109466.0,1.2357729084115103,0.6962524654832347,0.3037475345167653,0.003998176270473118,0.04806899899526987,0.015183843036317044,0.9367471579684131
friction_high,segmented_uid,holdout,0.3591280178686204,0.9968809299595818,0.5620165730110469,0.8358684404762468,88581,3083,0.03480430340592226,131488.0,1.4843815265124576,0.6363931235809277,0.36360687641907236,0.0052398886523661375,0.04621758616407582,0.017351350741129586,0.9364310630947946
fraud_high,segmented_uid,valid,0.27264448753555043,0.5278809287525535,0.3551126724369377,0.4601341698407717,88581,3042,0.03434145019812375,168278.0,1.899707612241903,0.8037475345167653,0.19625246548323472,0.04734682425560271,0.047290050913852855,0.06982309976179993,0.8828868493243472
fraud_high,segmented_uid,holdout,0.27264448753555043,0.5278809287525535,0.3551126724369377,0.4601341698407717,88581,3083,0.03480430340592226,207702.0,2.3447691942967452,0.7489458319818358,0.2510541680181641,0.05193103932255725,0.04798997527686524,0.07265666452173716,0.8793533602013975
capacity_tight,segmented_uid,valid,0.32326373397619185,0.4994874407173199,0.5169411641215083,0.6235240335393114,88581,3042,0.03434145019812375,109022.0,1.2307605468441314,0.7274819197896121,0.2725180802103879,0.024760635499596676,0.027895372596832276,0.045822467572052696,0.9262821598311151
capacity_tight,segmented_uid,holdout,0.32326373397619185,0.4994874407173199,0.5169411641215083,0.6235240335393114,88581,3083,0.03480430340592226,131788.0,1.4877682573012272,0.6649367499189102,0.33506325008108984,0.027439238344756603,0.028380804009889255,0.04661270475609894,0.9250064912340118
capacity_loose,segmented_uid,valid,0.2196578137326137,0.8148160311414031,0.42081309349763524,0.8358684404762468,88581,3042,0.03434145019812375,85516.0,0.9653989004414039,0.7850098619329389,0.21499013806706113,0.004617776686657548,0.09124981655208228,0.0192253417775821,0.8895248416703356
capacity_loose,segmented_uid,holdout,0.2196578137326137,0.8148160311414031,0.42081309349763524,0.8358684404762468,88581,3083,0.03480430340592226,105196.0,1.1875684401846898,0.7278624716185533,0.27213752838144667,0.0057662167536082715,0.09237872681500547,0.02017362639843759,0.887447646786557
