,train_missing,test_missing,delta
id_24,0.9919615944728554,0.9906451861193508,-0.00131640835350455
id_25,0.9913096487960172,0.990055082880888,-0.001254565915129291
id_08,0.9912707013919464,0.990015611092362,-0.0012550902995843716
id_07,0.9912707013919464,0.990015611092362,-0.0012550902995843716
id_21,0.9912639279303688,0.990015611092362,-0.0012483168380067466
id_26,0.9912571544687913,0.9900392941654775,-0.0012178603033137225
id_27,0.9912469942764249,0.9900096903240831,-0.001237303952341784
id_23,0.9912469942764249,0.9900096903240831,-0.001237303952341784
id_22,0.9912469942764249,0.9900096903240831,-0.001237303952341784
dist2,0.9362837403054831,0.9280902956634319,-0.008193444642051184
D7,0.9340992989467267,0.8813221470284651,-0.0527771519182616
id_18,0.9236072069631185,0.8995936379371254,-0.024013569025993053
D13,0.8950926270870728,0.7564906422257353,-0.13860198486133757
D14,0.8946946862193924,0.77265433962711,-0.12204034659228236
D12,0.8904104717715988,0.8633210378712075,-0.027089433900391313
id_03,0.8876892335828225,0.8687938013503299,-0.01889543223249257
id_04,0.8876892335828225,0.8687938013503299,-0.01889543223249257
D6,0.8760676668811597,0.7537295906183453,-0.12233807626281434
id_33,0.8758949436109323,0.8605244616541442,-0.01537048195678814
D9,0.8731229044603245,0.8532873092279121,-0.019835595232412406
id_09,0.8731229044603245,0.8532873092279121,-0.019835595232412406
id_10,0.8731229044603245,0.8532873092279121,-0.019835595232412406
D8,0.8731229044603245,0.8532873092279121,-0.019835595232412406
id_30,0.868654113184543,0.8605481447272598,-0.008105968457283175
id_32,0.8686185525112609,0.8605244616541442,-0.008094090857116654
id_34,0.8682477054898906,0.8575561831569931,-0.010691522332897496
id_14,0.8644562603718631,0.8591705793077044,-0.00528568106415872
V140,0.8612371727571375,0.8504315253280599,-0.010805647429077636
V142,0.8612371727571375,0.8504315253280599,-0.010805647429077636
V139,0.8612371727571375,0.8504315253280599,-0.010805647429077636
V155,0.8612371727571375,0.8504315253280599,-0.010805647429077636
V156,0.8612371727571375,0.8504315253280599,-0.010805647429077636
V148,0.8612371727571375,0.8504315253280599,-0.010805647429077636
V149,0.8612371727571375,0.8504315253280599,-0.010805647429077636
V157,0.8612371727571375,0.8504315253280599,-0.010805647429077636
V158,0.8612371727571375,0.8504315253280599,-0.010805647429077636
V141,0.8612371727571375,0.8504315253280599,-0.010805647429077636
V138,0.8612371727571375,0.8504315253280599,-0.010805647429077636
V162,0.8612371727571375,0.8504315253280599,-0.010805647429077636
V153,0.8612371727571375,0.8504315253280599,-0.010805647429077636
V154,0.8612371727571375,0.8504315253280599,-0.010805647429077636
V163,0.8612371727571375,0.8504315253280599,-0.010805647429077636
V147,0.8612371727571375,0.8504315253280599,-0.010805647429077636
V161,0.8612371727571375,0.8504315253280599,-0.010805647429077636
V146,0.8612371727571375,0.8504315253280599,-0.010805647429077636
V144,0.8612270125647712,0.8498986561829597,-0.01132835638181151
V151,0.8612270125647712,0.8498986561829597,-0.01132835638181151
V152,0.8612270125647712,0.8498986561829597,-0.01132835638181151
V159,0.8612270125647712,0.8498986561829597,-0.01132835638181151
V145,0.8612270125647712,0.8498986561829597,-0.01132835638181151
V165,0.8612270125647712,0.8498986561829597,-0.01132835638181151
V164,0.8612270125647712,0.8498986561829597,-0.01132835638181151
V160,0.8612270125647712,0.8498986561829597,-0.01132835638181151
V166,0.8612270125647712,0.8498986561829597,-0.01132835638181151
V150,0.8612270125647712,0.8498986561829597,-0.01132835638181151
V143,0.8612270125647712,0.8498986561829597,-0.01132835638181151
V325,0.8605496664070174,0.8491565865586719,-0.011393079848345478
V324,0.8605496664070174,0.8491565865586719,-0.011393079848345478
V328,0.8605496664070174,0.8491565865586719,-0.011393079848345478
V327,0.8605496664070174,0.8491565865586719,-0.011393079848345478
V334,0.8605496664070174,0.8491565865586719,-0.011393079848345478
V333,0.8605496664070174,0.8491565865586719,-0.011393079848345478
V322,0.8605496664070174,0.8491565865586719,-0.011393079848345478
V323,0.8605496664070174,0.8491565865586719,-0.011393079848345478
V332,0.8605496664070174,0.8491565865586719,-0.011393079848345478
V329,0.8605496664070174,0.8491565865586719,-0.011393079848345478
V337,0.8605496664070174,0.8491565865586719,-0.011393079848345478
V338,0.8605496664070174,0.8491565865586719,-0.011393079848345478
V339,0.8605496664070174,0.8491565865586719,-0.011393079848345478
V336,0.8605496664070174,0.8491565865586719,-0.011393079848345478
V326,0.8605496664070174,0.8491565865586719,-0.011393079848345478
V331,0.8605496664070174,0.8491565865586719,-0.011393079848345478
V330,0.8605496664070174,0.8491565865586719,-0.011393079848345478
V335,0.8605496664070174,0.8491565865586719,-0.011393079848345478
