model,strategy,window_days,split,block,rows,fraud_rate,pr_auc,recall_at_5pct,precision_at_5pct,cost_per_txn_proxy,uid_known_pr_auc,uid_unknown_pr_auc,train_seconds,updated,device,psi_score,inference_ms_per_txn
lightgbm,static,initial_70pct,valid,1,18907,0.03929761464008039,0.6108532827204131,0.6339165545087483,0.4984126984126984,12.975641320251759,0.6531374898285071,0.6057678095014287,0.0,0,V01_saved_scores,0.0,
lightgbm,static,initial_70pct,valid,2,18622,0.033293953388465254,0.5297027073983644,0.6129032258064516,0.40816326530612246,12.461842893029749,0.5575358545514032,0.5337876673942631,0.0,0,V01_saved_scores,0.002861228978181344,
lightgbm,static,initial_70pct,valid,3,18646,0.03233937573742358,0.4778754441428145,0.5854063018242123,0.37875536480686695,11.43077334216454,0.5723594630419041,0.4581627222285193,0.0,0,V01_saved_scores,0.0023693570472553176,
lightgbm,static,initial_70pct,valid,4,9274,0.031917187836963554,0.5509526960544406,0.5912162162162162,0.3779697624190065,9.658122223420314,0.48790713366625443,0.6262084177238275,0.0,0,V01_saved_scores,0.0052168841748971625,
lightgbm,static,initial_70pct,holdout,0,21975,0.030716723549488054,0.5841969156172664,0.6340740740740741,0.38979963570127507,11.100223218020478,0.5598731035879211,0.6095398648885519,0.0,0,V01_saved_scores,0.006887084937330402,
lightgbm,static,initial_70pct,holdout,1,20656,0.030644848954298993,0.4668212965048177,0.5466034755134281,0.33527131782945735,10.394513515201394,0.49508160936979984,0.46977801863788204,0.0,0,V01_saved_scores,0.0009168716693328022,
lightgbm,static,initial_70pct,holdout,2,20508,0.03510825043885313,0.49931689685737435,0.5472222222222223,0.38439024390243903,13.216784237175736,0.4170615258817281,0.5414220018086479,0.0,0,V01_saved_scores,0.010521349344347387,
lightgbm,static,initial_70pct,holdout,3,17817,0.04130886232250098,0.6020718806324983,0.6114130434782609,0.5056179775280899,16.67911674513105,0.5157977810539506,0.6515574285077164,0.0,0,V01_saved_scores,0.0017173672558236561,
lightgbm,static,initial_70pct,holdout,4,7625,0.041836065573770495,0.5990315296703014,0.5768025078369906,0.48293963254593175,20.30620579042623,0.5321363480771809,0.654079790163712,0.0,0,V01_saved_scores,0.0075531539266157025,
lightgbm,periodic,14,valid,1,18907,0.03929761464008039,0.597765491045652,0.6083445491251682,0.4783068783068783,12.881713894853757,0.6014546875641805,0.6110116004803186,7.920301940999934,1,cpu,0.0,0.025352485428675547
