model,strategy,window_days,split,block,train_rows,train_first_dt,train_last_dt,available_before,train_seconds,device,fallback,reason
lightgbm,periodic,14,valid,1,42580,9228403.0,10437996.0,10437998.1,7.920301940999934,cpu,,weekly
lightgbm,periodic,14,valid,2,44794,9833214.0,11042793.0,11042798.1,4.063247346000026,cpu,,weekly
lightgbm,periodic,14,valid,3,42039,10438003.0,11647588.0,11647598.1,4.0164061360000005,cpu,,weekly
lightgbm,periodic,14,valid,4,37529,11042822.0,12252387.0,12252398.1,3.666605575999938,cpu,,weekly
lightgbm,periodic,14,holdout,0,36989,11337606.0,12547018.0,12547045.999999998,3.751571087000002,cpu,,weekly
lightgbm,periodic,14,holdout,1,37479,11942491.0,13151840.0,13151845.999999998,3.5181793719999632,cpu,,weekly
lightgbm,periodic,14,holdout,2,41135,12547070.0,13756312.0,13756645.999999998,3.8088113689999545,cpu,,weekly
lightgbm,periodic,14,holdout,3,42631,13151880.0,14361439.0,14361445.999999998,4.261643284000002,cpu,,weekly
lightgbm,periodic,14,holdout,4,41164,13756730.0,14966157.0,14966245.999999998,3.9764422739999645,cpu,,weekly
lightgbm,alert,14,valid,1,42580,9228403.0,10437996.0,10437998.1,4.168465325999932,cpu,,initial_window_model
lightgbm,alert,14,holdout,1,37479,11942491.0,13151840.0,13151845.999999998,3.6119576690000486,cpu,,two_matured_pr_auc_drops_gt_10pct
lightgbm,alert,14,holdout,3,42631,13151880.0,14361439.0,14361445.999999998,4.119476736000024,cpu,,two_matured_pr_auc_drops_gt_10pct
lightgbm,periodic,30,valid,1,98496,7846017.0,10437996.0,10437998.1,6.839970117000007,cpu,,weekly
lightgbm,periodic,30,valid,2,93852,8450822.0,11042793.0,11042798.1,6.438526388000014,cpu,,weekly
lightgbm,periodic,30,valid,3,90857,9055600.0,11647588.0,11647598.1,6.380034985000066,cpu,,weekly
lightgbm,periodic,30,valid,4,88729,9660424.0,12252387.0,12252398.1,6.302429576000009,cpu,,weekly
lightgbm,periodic,30,holdout,0,86772,9955073.0,12547018.0,12547045.999999998,6.297939561000021,cpu,,weekly
lightgbm,periodic,30,holdout,1,83800,10559903.0,13151840.0,13151845.999999998,6.378243165000072,cpu,,weekly
lightgbm,periodic,30,holdout,2,83420,11164729.0,13756312.0,13756645.999999998,5.95861165000008,cpu,,weekly
lightgbm,periodic,30,holdout,3,85334,11769589.0,14361439.0,14361445.999999998,6.330802371999994,cpu,,weekly
lightgbm,periodic,30,holdout,4,87250,12374352.0,14966157.0,14966245.999999998,6.232146241999999,cpu,,weekly
lightgbm,alert,30,valid,1,98496,7846017.0,10437996.0,10437998.1,6.617038899000022,cpu,,initial_window_model
lightgbm,alert,30,holdout,1,83800,10559903.0,13151840.0,13151845.999999998,6.270817675999979,cpu,,two_matured_pr_auc_drops_gt_10pct
lightgbm,alert,30,holdout,3,85334,11769589.0,14361439.0,14361445.999999998,6.437747803999969,cpu,,two_matured_pr_auc_drops_gt_10pct
lightgbm,periodic,45,valid,1,143405,6550013.0,10437996.0,10437998.1,9.651035078000064,cpu,,weekly
lightgbm,periodic,45,valid,2,146187,7154815.0,11042793.0,11042798.1,9.223396938000064,cpu,,weekly
lightgbm,periodic,45,valid,3,143813,7759641.0,11647588.0,11647598.1,9.37679161699998,cpu,,weekly
lightgbm,periodic,45,valid,4,134441,8364429.0,12252387.0,12252398.1,8.43756693499995,cpu,,weekly
lightgbm,periodic,45,holdout,0,131330,8659096.0,12547018.0,12547045.999999998,8.832148643999972,cpu,,weekly
lightgbm,periodic,45,holdout,1,129408,9263879.0,13151840.0,13151845.999999998,8.375053671000046,cpu,,weekly
lightgbm,periodic,45,holdout,2,130535,9868696.0,13756312.0,13756645.999999998,8.455630228000018,cpu,,weekly
lightgbm,periodic,45,holdout,3,129432,10473578.0,14361439.0,14361445.999999998,8.559682285999997,cpu,,weekly
lightgbm,periodic,45,holdout,4,127029,11078500.0,14966157.0,14966245.999999998,8.49124861000007,cpu,,weekly
lightgbm,alert,45,valid,1,143405,6550013.0,10437996.0,10437998.1,9.287317453000014,cpu,,initial_window_model
lightgbm,alert,45,holdout,1,129408,9263879.0,13151840.0,13151845.999999998,8.152059905999977,cpu,,two_matured_pr_auc_drops_gt_10pct
lightgbm,alert,45,holdout,4,127029,11078500.0,14966157.0,14966245.999999998,8.431249795999975,cpu,,two_matured_pr_auc_drops_gt_10pct
lightgbm,periodic,expanding,valid,1,413378,86400.0,10437996.0,10437998.1,27.702224806999993,cpu,,weekly
lightgbm,periodic,expanding,valid,2,436510,86400.0,11042793.0,11042798.1,24.677220294000108,cpu,,weekly
lightgbm,periodic,expanding,valid,3,455417,86400.0,11647588.0,11647598.1,25.048449508999965,cpu,,weekly
lightgbm,periodic,expanding,valid,4,474039,86400.0,12252387.0,12252398.1,25.881037190999905,cpu,,weekly
lightgbm,periodic,expanding,holdout,0,482799,86400.0,12547018.0,12547045.999999998,27.292018460999998,cpu,,weekly
lightgbm,periodic,expanding,holdout,1,501959,86400.0,13151840.0,13151845.999999998,27.770164928999975,cpu,,weekly
lightgbm,periodic,expanding,holdout,2,523934,86400.0,13756312.0,13756645.999999998,28.123059772000033,cpu,,weekly
lightgbm,periodic,expanding,holdout,3,544590,86400.0,14361439.0,14361445.999999998,30.18738167100014,cpu,,weekly
lightgbm,periodic,expanding,holdout,4,565098,86400.0,14966157.0,14966245.999999998,31.30901870899993,cpu,,weekly
lightgbm,alert,expanding,valid,1,413378,86400.0,10437996.0,10437998.1,23.185391054000092,cpu,,initial_window_model
lightgbm,alert,expanding,holdout,1,501959,86400.0,13151840.0,13151845.999999998,26.936842162999937,cpu,,two_matured_pr_auc_drops_gt_10pct
xgboost,static,initial_70pct,initial,-1,413378,,,,17.80737737100003,cpu,,
xgboost,periodic,14,valid,1,42580,9228403.0,10437996.0,10437998.1,2.5647558529999515,cpu,,weekly
xgboost,periodic,14,valid,2,44794,9833214.0,11042793.0,11042798.1,2.5456896700000016,cpu,,weekly
xgboost,periodic,14,valid,3,42039,10438003.0,11647588.0,11647598.1,2.585829186999945,cpu,,weekly
xgboost,periodic,14,valid,4,37529,11042822.0,12252387.0,12252398.1,2.2105720249999194,cpu,,weekly
xgboost,periodic,14,holdout,0,36989,11337606.0,12547018.0,12547045.999999998,2.2789715230001093,cpu,,weekly
xgboost,periodic,14,holdout,1,37479,11942491.0,13151840.0,13151845.999999998,2.3059066509999866,cpu,,weekly
xgboost,periodic,14,holdout,2,41135,12547070.0,13756312.0,13756645.999999998,2.4476844509999864,cpu,,weekly
xgboost,periodic,14,holdout,3,42631,13151880.0,14361439.0,14361445.999999998,2.6637055099999998,cpu,,weekly
xgboost,periodic,14,holdout,4,41164,13756730.0,14966157.0,14966245.999999998,2.5411478089999946,cpu,,weekly
xgboost,alert,14,valid,1,42580,9228403.0,10437996.0,10437998.1,2.5391377559999455,cpu,,initial_window_model
xgboost,alert,14,holdout,1,37479,11942491.0,13151840.0,13151845.999999998,2.2396896380000726,cpu,,two_matured_pr_auc_drops_gt_10pct
xgboost,alert,14,holdout,3,42631,13151880.0,14361439.0,14361445.999999998,2.687674971999968,cpu,,two_matured_pr_auc_drops_gt_10pct
xgboost,periodic,30,valid,1,98496,7846017.0,10437996.0,10437998.1,4.404323882999961,cpu,,weekly
xgboost,periodic,30,valid,2,93852,8450822.0,11042793.0,11042798.1,4.463699747999954,cpu,,weekly
xgboost,periodic,30,valid,3,90857,9055600.0,11647588.0,11647598.1,4.377572035999947,cpu,,weekly
xgboost,periodic,30,valid,4,88729,9660424.0,12252387.0,12252398.1,4.224946983000109,cpu,,weekly
xgboost,periodic,30,holdout,0,86772,9955073.0,12547018.0,12547045.999999998,4.090485947000161,cpu,,weekly
xgboost,periodic,30,holdout,1,83800,10559903.0,13151840.0,13151845.999999998,3.9803986689998965,cpu,,weekly
xgboost,periodic,30,holdout,2,83420,11164729.0,13756312.0,13756645.999999998,4.012518053000122,cpu,,weekly
xgboost,periodic,30,holdout,3,85334,11769589.0,14361439.0,14361445.999999998,4.238872160000028,cpu,,weekly
xgboost,periodic,30,holdout,4,87250,12374352.0,14966157.0,14966245.999999998,4.342602208000017,cpu,,weekly
xgboost,alert,30,valid,1,98496,7846017.0,10437996.0,10437998.1,4.403778878000139,cpu,,initial_window_model
xgboost,alert,30,holdout,1,83800,10559903.0,13151840.0,13151845.999999998,3.9241657739999027,cpu,,two_matured_pr_auc_drops_gt_10pct
xgboost,alert,30,holdout,4,87250,12374352.0,14966157.0,14966245.999999998,4.313486742999885,cpu,,two_matured_pr_auc_drops_gt_10pct
xgboost,periodic,45,valid,1,143405,6550013.0,10437996.0,10437998.1,6.546184880999817,cpu,,weekly
xgboost,periodic,45,valid,2,146187,7154815.0,11042793.0,11042798.1,6.5688149380000596,cpu,,weekly
xgboost,periodic,45,valid,3,143813,7759641.0,11647588.0,11647598.1,6.566878690999829,cpu,,weekly
xgboost,periodic,45,valid,4,134441,8364429.0,12252387.0,12252398.1,6.280030095000029,cpu,,weekly
xgboost,periodic,45,holdout,0,131330,8659096.0,12547018.0,12547045.999999998,5.906606619000058,cpu,,weekly
xgboost,periodic,45,holdout,1,129408,9263879.0,13151840.0,13151845.999999998,5.77059201499992,cpu,,weekly
xgboost,periodic,45,holdout,2,130535,9868696.0,13756312.0,13756645.999999998,5.9718765069999336,cpu,,weekly
xgboost,periodic,45,holdout,3,129432,10473578.0,14361439.0,14361445.999999998,5.879497709999896,cpu,,weekly
xgboost,periodic,45,holdout,4,127029,11078500.0,14966157.0,14966245.999999998,5.805005208000011,cpu,,weekly
xgboost,alert,45,valid,1,143405,6550013.0,10437996.0,10437998.1,6.39313437099986,cpu,,initial_window_model
xgboost,alert,45,holdout,1,129408,9263879.0,13151840.0,13151845.999999998,5.684587693999902,cpu,,two_matured_pr_auc_drops_gt_10pct
xgboost,alert,45,holdout,4,127029,11078500.0,14966157.0,14966245.999999998,5.7983905850001065,cpu,,two_matured_pr_auc_drops_gt_10pct
xgboost,periodic,expanding,valid,1,413378,86400.0,10437996.0,10437998.1,16.95383835099983,cpu,,weekly
xgboost,periodic,expanding,valid,2,436510,86400.0,11042793.0,11042798.1,17.80879684300021,cpu,,weekly
xgboost,periodic,expanding,valid,3,455417,86400.0,11647588.0,11647598.1,19.527747866000027,cpu,,weekly
xgboost,periodic,expanding,valid,4,474039,86400.0,12252387.0,12252398.1,19.39166249499999,cpu,,weekly
xgboost,periodic,expanding,holdout,0,482799,86400.0,12547018.0,12547045.999999998,19.713382108000133,cpu,,weekly
xgboost,periodic,expanding,holdout,1,501959,86400.0,13151840.0,13151845.999999998,20.171855650999987,cpu,,weekly
xgboost,periodic,expanding,holdout,2,523934,86400.0,13756312.0,13756645.999999998,21.06709521599987,cpu,,weekly
xgboost,periodic,expanding,holdout,3,544590,86400.0,14361439.0,14361445.999999998,21.86949991000006,cpu,,weekly
xgboost,periodic,expanding,holdout,4,565098,86400.0,14966157.0,14966245.999999998,22.38836800199988,cpu,,weekly
xgboost,alert,expanding,valid,1,413378,86400.0,10437996.0,10437998.1,16.730101176000062,cpu,,initial_window_model
xgboost,alert,expanding,holdout,1,501959,86400.0,13151840.0,13151845.999999998,20.198683345999825,cpu,,two_matured_pr_auc_drops_gt_10pct
catboost,static,initial_70pct,initial,-1,413378,,,,29.4154737140002,cpu,,
catboost,periodic,14,valid,1,42580,9228403.0,10437996.0,10437998.1,4.847916650000116,cpu,,weekly
catboost,periodic,14,valid,2,44794,9833214.0,11042793.0,11042798.1,5.062690742999848,cpu,,weekly
catboost,periodic,14,valid,3,42039,10438003.0,11647588.0,11647598.1,5.0149089830001685,cpu,,weekly
catboost,periodic,14,valid,4,37529,11042822.0,12252387.0,12252398.1,4.600813194999773,cpu,,weekly
catboost,periodic,14,holdout,0,36989,11337606.0,12547018.0,12547045.999999998,4.474246520000179,cpu,,weekly
catboost,periodic,14,holdout,1,37479,11942491.0,13151840.0,13151845.999999998,4.470461204000003,cpu,,weekly
catboost,periodic,14,holdout,2,41135,12547070.0,13756312.0,13756645.999999998,4.814960564000103,cpu,,weekly
catboost,periodic,14,holdout,3,42631,13151880.0,14361439.0,14361445.999999998,5.1574553129999,cpu,,weekly
catboost,periodic,14,holdout,4,41164,13756730.0,14966157.0,14966245.999999998,4.991583874000298,cpu,,weekly
catboost,alert,14,valid,1,42580,9228403.0,10437996.0,10437998.1,4.948640033999709,cpu,,initial_window_model
catboost,alert,14,holdout,1,37479,11942491.0,13151840.0,13151845.999999998,4.44081284899994,cpu,,two_matured_pr_auc_drops_gt_10pct
catboost,alert,14,holdout,3,42631,13151880.0,14361439.0,14361445.999999998,5.188821295999787,cpu,,two_matured_pr_auc_drops_gt_10pct
catboost,periodic,30,valid,1,98496,7846017.0,10437996.0,10437998.1,8.535995610999635,cpu,,weekly
catboost,periodic,30,valid,2,93852,8450822.0,11042793.0,11042798.1,8.359007675999692,cpu,,weekly
catboost,periodic,30,valid,3,90857,9055600.0,11647588.0,11647598.1,8.155240409000271,cpu,,weekly
catboost,periodic,30,valid,4,88729,9660424.0,12252387.0,12252398.1,7.924607275999733,cpu,,weekly
catboost,periodic,30,holdout,0,86772,9955073.0,12547018.0,12547045.999999998,7.884997602000112,cpu,,weekly
catboost,periodic,30,holdout,1,83800,10559903.0,13151840.0,13151845.999999998,7.695644316999733,cpu,,weekly
catboost,periodic,30,holdout,2,83420,11164729.0,13756312.0,13756645.999999998,7.31515047799985,cpu,,weekly
