model,strategy,window_days,scenario,review_effectiveness,update_cost,false_escalation_cost,rows,fraud_count,cost_total,cost_per_txn,reward_total,review_count,review_rate,escalate_count,approve_count,fraud_approved,fraud_referred,fraud_referred_rate,false_escalations_per_1000_legit,updates,update_cost_total
lightgbm,static,initial_70pct,model,0.6,0.0,5.0,88581,3083,851527.5987450001,9.612982453855794,-851527.5987450001,4892,0.055226290062202955,3768,79921,946,2137,0.6931560168666883,24.152611757000166,0,0.0
lightgbm,static,initial_70pct,model,0.6,0.0,10.0,88581,3083,861852.5987450001,9.729542438502614,-861852.5987450001,4892,0.055226290062202955,3768,79921,946,2137,0.6931560168666883,24.152611757000166,0,0.0
lightgbm,static,initial_70pct,model,0.6,0.0,25.0,88581,3083,892827.5987450001,10.079222392443075,-892827.5987450001,4892,0.055226290062202955,3768,79921,946,2137,0.6931560168666883,24.152611757000166,0,0.0
lightgbm,static,initial_70pct,model,0.6,100.0,5.0,88581,3083,851527.5987450001,9.612982453855794,-851527.5987450001,4892,0.055226290062202955,3768,79921,946,2137,0.6931560168666883,24.152611757000166,0,0.0
lightgbm,static,initial_70pct,model,0.6,100.0,10.0,88581,3083,861852.5987450001,9.729542438502614,-861852.5987450001,4892,0.055226290062202955,3768,79921,946,2137,0.6931560168666883,24.152611757000166,0,0.0
lightgbm,static,initial_70pct,model,0.6,100.0,25.0,88581,3083,892827.5987450001,10.079222392443075,-892827.5987450001,4892,0.055226290062202955,3768,79921,946,2137,0.6931560168666883,24.152611757000166,0,0.0
lightgbm,static,initial_70pct,model,0.6,500.0,5.0,88581,3083,851527.5987450001,9.612982453855794,-851527.5987450001,4892,0.055226290062202955,3768,79921,946,2137,0.6931560168666883,24.152611757000166,0,0.0
lightgbm,static,initial_70pct,model,0.6,500.0,10.0,88581,3083,861852.5987450001,9.729542438502614,-861852.5987450001,4892,0.055226290062202955,3768,79921,946,2137,0.6931560168666883,24.152611757000166,0,0.0
lightgbm,static,initial_70pct,model,0.6,500.0,25.0,88581,3083,892827.5987450001,10.079222392443075,-892827.5987450001,4892,0.055226290062202955,3768,79921,946,2137,0.6931560168666883,24.152611757000166,0,0.0
lightgbm,static,initial_70pct,model,0.8,0.0,5.0,88581,3083,770774.9368530001,8.701357366173333,-770774.9368530001,4892,0.055226290062202955,3768,79921,946,2137,0.6931560168666883,24.152611757000166,0,0.0
lightgbm,static,initial_70pct,model,0.8,0.0,10.0,88581,3083,781099.9368530001,8.817917350820155,-781099.9368530001,4892,0.055226290062202955,3768,79921,946,2137,0.6931560168666883,24.152611757000166,0,0.0
lightgbm,static,initial_70pct,model,0.8,0.0,25.0,88581,3083,812074.9368530001,9.167597304760616,-812074.9368530001,4892,0.055226290062202955,3768,79921,946,2137,0.6931560168666883,24.152611757000166,0,0.0
lightgbm,static,initial_70pct,model,0.8,100.0,5.0,88581,3083,770774.9368530001,8.701357366173333,-770774.9368530001,4892,0.055226290062202955,3768,79921,946,2137,0.6931560168666883,24.152611757000166,0,0.0
lightgbm,static,initial_70pct,model,0.8,100.0,10.0,88581,3083,781099.9368530001,8.817917350820155,-781099.9368530001,4892,0.055226290062202955,3768,79921,946,2137,0.6931560168666883,24.152611757000166,0,0.0
