model,strategy,window_days,split,block,rows,fraud_rate,pr_auc,recall_at_5pct,precision_at_5pct
regresion_logistica,static,initial_70pct,valid,0,23132,0.03372,0.488,0.50641,0.3414
regresion_logistica,periodic,45,valid,0,23132,0.03372,0.49424,0.52564,0.35436
regresion_logistica,static,initial_70pct,valid,1,18907,0.0393,0.36045,0.43069,0.33862
regresion_logistica,periodic,45,valid,1,18907,0.0393,0.41412,0.44953,0.35344
regresion_logistica,static,initial_70pct,valid,2,18622,0.03329,0.29511,0.39677,0.26423
regresion_logistica,periodic,45,valid,2,18622,0.03329,0.31654,0.42097,0.28034
regresion_logistica,static,initial_70pct,valid,3,18646,0.03234,0.29385,0.35821,0.23176
regresion_logistica,periodic,45,valid,3,18646,0.03234,0.32453,0.41625,0.26931
regresion_logistica,static,initial_70pct,valid,4,9274,0.03192,0.2975,0.37838,0.24138
regresion_logistica,periodic,45,valid,4,9274,0.03192,0.3824,0.44257,0.28233
regresion_logistica,static,initial_70pct,holdout,0,21975,0.03072,0.36923,0.41778,0.2566
regresion_logistica,periodic,45,holdout,0,21975,0.03072,0.40433,0.44444,0.27298
regresion_logistica,static,initial_70pct,holdout,1,20656,0.03064,0.12582,0.33965,0.20813
regresion_logistica,periodic,45,holdout,1,20656,0.03064,0.12754,0.33017,0.20232
regresion_logistica,static,initial_70pct,holdout,2,20508,0.03511,0.10664,0.17222,0.12098
regresion_logistica,periodic,45,holdout,2,20508,0.03511,0.11086,0.14167,0.09951
regresion_logistica,static,initial_70pct,holdout,3,17817,0.04131,0.39526,0.42527,0.35129
regresion_logistica,periodic,45,holdout,3,17817,0.04131,0.4696,0.49321,0.40741
regresion_logistica,static,initial_70pct,holdout,4,7625,0.04184,0.44482,0.45455,0.38058
regresion_logistica,periodic,45,holdout,4,7625,0.04184,0.50036,0.50784,0.4252
arbol_decision,static,initial_70pct,valid,0,23132,0.03372,0.48083,0.5359,0.36128
arbol_decision,periodic,45,valid,0,23132,0.03372,0.52102,0.58077,0.39153
arbol_decision,static,initial_70pct,valid,1,18907,0.0393,0.37708,0.4105,0.32275
arbol_decision,periodic,45,valid,1,18907,0.0393,0.39415,0.49394,0.38836
arbol_decision,static,initial_70pct,valid,2,18622,0.03329,0.29961,0.43226,0.28786
arbol_decision,periodic,45,valid,2,18622,0.03329,0.3213,0.44677,0.29753
arbol_decision,static,initial_70pct,valid,3,18646,0.03234,0.27378,0.37977,0.24571
arbol_decision,periodic,45,valid,3,18646,0.03234,0.29467,0.4262,0.27575
arbol_decision,static,initial_70pct,valid,4,9274,0.03192,0.29016,0.40203,0.25647
arbol_decision,periodic,45,valid,4,9274,0.03192,0.31085,0.43919,0.28017
arbol_decision,static,initial_70pct,holdout,0,21975,0.03072,0.40753,0.47407,0.29117
arbol_decision,periodic,45,holdout,0,21975,0.03072,0.39701,0.47852,0.2939
arbol_decision,static,initial_70pct,holdout,1,20656,0.03064,0.32069,0.46603,0.28558
arbol_decision,periodic,45,holdout,1,20656,0.03064,0.31722,0.4455,0.27299
arbol_decision,static,initial_70pct,holdout,2,20508,0.03511,0.32624,0.4125,0.28976
arbol_decision,periodic,45,holdout,2,20508,0.03511,0.32208,0.42361,0.29756
arbol_decision,static,initial_70pct,holdout,3,17817,0.04131,0.47355,0.51087,0.422
arbol_decision,periodic,45,holdout,3,17817,0.04131,0.46446,0.49457,0.40853
arbol_decision,static,initial_70pct,holdout,4,7625,0.04184,0.39613,0.44514,0.3727
arbol_decision,periodic,45,holdout,4,7625,0.04184,0.3813,0.47649,0.39895
