period,feature,ks,psi,missing_reference,missing_current
valid,TransactionAmt,0.013259999999999994,0.009373979301261071,0.0,0.0
valid,D1n,0.49232,1.4440986509709044,0.0006604125038100721,0.010781093010916563
valid,D2n,0.29978,0.5517533602557673,0.49914122183570486,0.42223501653853535
valid,D10n,0.45371999999999996,1.1608848835797163,0.14801465002975486,0.08550366331380319
valid,D15n,0.36308,0.8464267163089727,0.16531842526694696,0.1368690802768088
valid,C9,0.14316,0.10466723169360932,0.0,0.0
valid,id_02,0.12588020730827265,0.11932387984687723,0.7401143747369235,0.8279202086226166
valid,id_20,0.118729562674465,0.14272006672073878,0.7424004180193431,0.8301441618405753
valid,D11,0.09671999999999997,0.05744015665262288,0.5461659788377707,0.32064438197807654
valid,id_01,0.07167057621055328,0.021242037760332705,0.7341150230539603,0.8232803874420023
valid,has_identity,0.09221999999999997,,0.0,0.0
holdout,TransactionAmt,0.01748000000000005,0.005648089739010526,0.0,0.0
holdout,D1n,0.60422,1.8486029057693685,0.0006604125038100721,0.0004628532077985121
holdout,D2n,0.40184000000000003,0.8964613352400178,0.49914122183570486,0.41838543254196725
holdout,D10n,0.52484,1.3963184406783957,0.14801465002975486,0.0819814632934828
holdout,D15n,0.45254,1.1006341661370895,0.16531842526694696,0.09765073774285682
holdout,C9,0.1164,0.07044888990143879,0.0,0.0
holdout,id_02,0.11107245191779316,0.1516324478365546,0.7401143747369235,0.7945609103532361
holdout,id_20,0.14140272886231597,0.0987852990384551,0.7424004180193431,0.7998554994863458
holdout,D11,0.0816,0.06416638486846582,0.5461659788377707,0.28348065612264484
holdout,id_01,0.12033322905506749,0.08488996479483146,0.7341150230539603,0.789255032117497
holdout,has_identity,0.05740000000000001,,0.0,0.0
test_unlabeled,TransactionAmt,0.01904,0.005171505622883915,0.0,0.0
test_unlabeled,D1n,0.77354,2.757314554100069,0.0006604125038100721,0.011902717829998953
test_unlabeled,D2n,0.6082799999999999,1.9592493833035132,0.49914122183570486,0.4633376160223884
test_unlabeled,D10n,0.68884,2.1466390889685223,0.14801465002975486,0.0247586793528995
test_unlabeled,D15n,0.62278,1.7765238473535447,0.16531842526694696,0.023819250785981988
test_unlabeled,C9,0.0393,0.008828356503671194,0.0,5.920768278891869e-06
test_unlabeled,id_02,0.07476000000000005,0.06981617046864666,0.7401143747369235,0.7296656147435024
test_unlabeled,id_20,0.10352000000000006,0.09628031115892426,0.7424004180193431,0.7323161453430197
test_unlabeled,D11,0.14749999999999996,0.15158181920998812,0.5461659788377707,0.348374058351145
test_unlabeled,id_01,0.07064000000000004,0.01932822434897067,0.7341150230539603,0.7199338452824305
test_unlabeled,has_identity,0.011340000000000017,,0.0,0.0
