origin,day,rows,amt_median,identity_rate,C9_median,amt_median_rolling_7d,amt_median_rolling_30d,identity_rate_rolling_7d,identity_rate_rolling_30d,C9_median_rolling_7d,C9_median_rolling_30d
train,1,5122,77.97,0.19250292854353768,1.0,77.97,77.97,0.19250292854353768,0.19250292854353768,1.0,1.0
train,2,3730,67.95,0.22654155495978553,1.0,72.96000000000001,72.96000000000001,0.20952224175166162,0.20952224175166162,1.0,1.0
train,3,3241,59.0,0.2761493366244986,1.0,68.30666666666667,68.30666666666667,0.2317312733759406,0.2317312733759406,1.0,1.0
train,4,4036,67.95,0.24975222993062438,1.0,68.2175,68.2175,0.23623651251461156,0.23623651251461156,1.0,1.0
train,5,3964,68.5,0.2969223007063572,1.0,68.274,68.274,0.2483736701529607,0.2483736701529607,1.0,1.0
train,6,3717,68.275,0.32553134248049503,1.0,68.27416666666666,68.27416666666666,0.26123328220754977,0.26123328220754977,1.0,1.0
train,7,3786,68.95,0.3623877443211833,1.0,68.37071428571429,68.37071428571429,0.27568391965235456,0.27568391965235456,1.0,1.0
train,8,3999,72.0,0.3508377094273568,1.0,67.51785714285714,68.824375,0.29830317406432877,0.2850781433742298,1.0,1.0
train,9,3907,67.95,0.3839262861530586,1.0,67.51785714285714,68.72722222222222,0.3207867070919392,0.29606127034965524,1.0,1.0
train,10,3445,59.0,0.4110304789550073,1.0,67.51785714285714,67.75450000000001,0.3400554417105832,0.30755819121019046,1.0,1.0
train,11,4319,68.5,0.4172262097707803,1.0,67.59642857142858,67.82227272727273,0.36398029597346265,0.317528011079335,1.0,1.0
train,12,4164,72.95,0.41474543707973105,1.0,68.23214285714286,68.24958333333335,0.38081217259823036,0.32562946324603464,1.0,1.0
train,13,4183,75.0,0.41788190294047334,1.0,69.19285714285714,68.76884615384617,0.39400510980679865,0.33272580476099145,1.0,1.0
train,14,4446,75.0,0.4217273954116059,1.0,70.05714285714285,69.21392857142858,0.4024822028197162,0.3390830612360354,1.0,1.0
train,15,5034,77.0,0.4408025427095749,0.0,70.77142857142857,69.733,0.415334321860033,0.345864360000938,0.8571428571428571,0.9333333333333333
train,16,4325,75.0,0.46635838150289016,0.0,71.77857142857142,70.0621875,0.42711033548143756,0.35339523634480996,0.7142857142857143,0.875
train,17,3805,60.224,0.48383705650459924,0.0,71.95342857142857,69.48347058823528,0.4375112751313792,0.36106828458950346,0.5714285714285714,0.8235294117647058
train,18,5585,82.95,0.5006266786034019,0.0,74.01771428571429,70.2316111111111,0.44942562782175377,0.3688215287013867,0.42857142857142855,0.7777777777777778
train,19,5526,87.95,0.5204487875497648,0.0,76.16057142857143,71.16415789473683,0.46452610646033005,0.3768019107460382,0.2857142857142857,0.7368421052631579
train,20,5749,97.0,0.5411375891459385,0.0,79.30342857142857,72.45595,0.48213406163253936,0.38501869466603317,0.14285714285714285,0.7
train,21,5677,100.0,0.541483177734719,0.0,82.87485714285715,73.76757142857143,0.49924203053584115,0.3924693843359706,0.0,0.6666666666666666
train,22,6852,97.975,0.5566258026853473,0.0,85.8712857142857,74.86790909090908,0.5157882105323801,0.39993103971548777,0.0,0.6363636363636364
train,23,5872,77.0,0.5568801089918256,0.0,86.15700000000001,74.96060869565217,0.5287198858879423,0.4067549122927198,0.0,0.6086956521739131
train,24,6065,77.0,0.6265457543281121,0.0,88.55357142857143,75.04558333333334,0.5491068427198728,0.41591286404419453,0.0,0.5833333333333334
train,25,5742,75.0,0.7241379310344828,0.0,87.41785714285713,75.04376,0.5810370216385986,0.42824186672380604,0.0,0.56
train,26,3458,59.233,0.43898207056101796,0.0,83.31542857142857,74.43565384615384,0.5693989192116348,0.42865495148677574,0.0,0.5384615384615384
train,27,3585,61.798,0.3698744769874477,1.0,78.28657142857143,73.9675925925926,0.5449327603318503,0.42647789687568954,0.14285714285714285,0.5555555555555556
train,28,3332,67.95,0.3427370948379352,1.0,73.708,73.75267857142856,0.516540462775167,0.4234871539457697,0.2857142857142857,0.5714285714285714
train,29,4302,75.0,0.2775453277545328,1.0,70.42585714285714,73.79568965517241,0.47667182349933634,0.4184546771805546,0.42857142857142855,0.5862068965517241
train,30,3371,67.95,0.27884900622960546,1.0,69.133,73.60083333333333,0.43695309453330483,0.41380115481552304,0.5714285714285714,0.6
