bin,rows,mean_score,observed_rate,gap,variant
0,8858,0.00781,0.00271,0.0051,raw
1,8858,0.01854,0.00316,0.01538,raw
2,8858,0.02958,0.00327,0.02631,raw
3,8858,0.04196,0.00384,0.03812,raw
4,8858,0.0582,0.00564,0.05255,raw
5,8859,0.08078,0.00711,0.07367,raw
6,8858,0.11377,0.01084,0.10293,raw
7,8857,0.16864,0.02179,0.14685,raw
8,8858,0.2814,0.04098,0.24042,raw
9,8859,0.62966,0.24867,0.38099,raw
0,870,0.0,0.0023,-0.0023,isotonic
2,22641,0.0015,0.00287,-0.00137,isotonic
3,11827,0.00365,0.00389,-0.00024,isotonic
4,6638,0.0048,0.00572,-0.00093,isotonic
5,6736,0.00557,0.00713,-0.00155,isotonic
6,11975,0.00783,0.00919,-0.00135,isotonic
7,9939,0.01457,0.02022,-0.00565,isotonic
8,8406,0.03443,0.03985,-0.00542,isotonic
9,9549,0.25847,0.23437,0.0241,isotonic
