model,strategy,window_days,scenario,review_effectiveness,update_cost,false_escalation_cost,rows,fraud_count,cost_total,cost_per_txn,reward_total,review_count,review_rate,escalate_count,approve_count,fraud_approved,fraud_referred,fraud_referred_rate,false_escalations_per_1000_legit,updates,update_cost_total
lightgbm,static,initial_70pct,model,0.8,100.0,10.0,88581,3083,781099.9368530001,8.817917350820155,-781099.9368530001,4892,0.055226290062202955,3768,79921,946,2137,0.6931560168666883,24.152611757000166,0,0.0
lightgbm,periodic,expanding,model,0.8,100.0,10.0,88581,3083,784516.3115544999,8.856485155445297,-784516.3115544999,4898,0.055294024677978344,4025,79658,869,2214,0.7181316899124229,26.01230438138904,5,500.0
lightgbm,recalibrate_thresholds,none,model,0.8,0.0,10.0,88581,3083,789463.605159,8.912335660683443,-789463.605159,4893,0.055237579164832185,3781,79907,952,2131,0.6912098605254622,24.281269737303795,0,0.0
lightgbm,periodic,45,model,0.8,100.0,10.0,88581,3083,790552.993423,8.924633876598818,-790552.993423,4898,0.055294024677978344,4015,79668,817,2266,0.734998378203049,25.100002339236006,5,500.0
lightgbm,periodic,30,model,0.8,100.0,10.0,88581,3083,822095.795055,9.280723801435974,-822095.795055,4898,0.055294024677978344,4225,79458,836,2247,0.7288355497891664,27.088352943928513,5,500.0
xgboost,periodic,45,model,0.8,100.0,10.0,88581,3083,837561.1059445001,9.45531328326052,-837561.1059445001,4892,0.055226290062202955,3933,79756,882,2201,0.7139150178397664,25.24035649956724,5,500.0
lightgbm,alert,expanding,model,0.8,100.0,10.0,88581,3083,838488.2941744999,9.465780406345603,-838488.2941744999,4898,0.055294024677978344,4119,79564,898,2185,0.7087252675964969,27.719946665419073,1,100.0
xgboost,periodic,30,model,0.8,100.0,10.0,88581,3083,850914.450319,9.606060558347728,-850914.450319,4898,0.055294024677978344,4175,79508,880,2203,0.7145637366201751,27.4158459847014,5,500.0
xgboost,periodic,expanding,model,0.8,100.0,10.0,88581,3083,858444.2948314999,9.691065745831498,-858444.2948314999,4898,0.055294024677978344,4130,79553,981,2102,0.6818034382095362,28.44510982713046,5,500.0
catboost,alert,45,model,0.8,100.0,10.0,88581,3083,862055.8138770001,9.731836554983575,-862055.8138770001,4898,0.055294024677978344,4004,79679,995,2088,0.6772624067466754,27.486023064867013,1,100.0
